Video Show,Show year,Location,Key Execs,Key Board Members,Key Advisory Board Members,Key Investors,Key Partnerships,Key Customers,Company Details,Company Profile,Url,Logo
CrowdFlower,2014,New York,"Lukas Biewald (CEO), Jeff Auston (VP Engineering),Tatiana Josephy (VP Product), Vikram Kumar (VP Finance), Renette Youssef (VP Marketing)",,,"K9 Ventures, Bessemer Venture Partners, Trinity Ventures, Harmony Partners, Felicis Ventures, Founders Fund, Marcus Ogawa, Travis Kalanick, Gary Kremen, Manu Kumar, Lorenzo Thione, Quest Venture Partners, FF Angel, Auren Hoffman, Freestyle Capital, Lorenzo Thione, Barney Pell",crowdflower.com/labor-channels,"Flickr, Bloomberg, Autodesk, Intuit, The Home Depot, Edelmen, Microsoft","<strong>Website: </strong><a href=""http://crowdflower.com"" target=""_blank"">crowdflower.com</a><br>
                  <strong>Blog: </strong><a href=""http://crowdflower.com/blog"" target=""_blank"">crowdflower.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/CrowdFlower"" target=""_blank"">@CrowdFlower</a><br>
                      <br>
                               <strong> HQ: </strong>San  Francisco, CA <br>
                               <strong>Founded: </strong>2009<br>
                               <strong>Product Demoed: </strong>CrowdFlower<br>
                               <strong>Product Launch: </strong>2009<br>
                      <strong>Metrics: </strong>80+ employees, 5M  contributors, 1.5B judgments completed, 7 years of work is completed in one day  on the platform<br>
                      <strong>Presenters: </strong>Tatiana Josephy (VP Product),
                      Seth Teicher (Head of Content &amp; Business Development)","",http://www.finovate.com/fall14vid/crowdflower.html,http://www.finovate.com/fall14vid/logos/CrowdFlower.jpg
Toopher,2014,New York,"Josh Alexander (CEO & Co-Founder), Evan Grim (Founder & CTO)","Josh Alexander (Chairman & CEO), Bill Crowell (Director)","John Michelsen (CTO, CA), Bob Blakley (Global Head of Information Security, Citigroup), Heather Hinton (CTO Security, IBM)","Alsop Louie, Stonehenge Capital, Corsa Ventures","CA, IBM, Ping Identity, ForgeRock","The Gelber Group, University of Texas at Austin, University of Oklahoma, LastPass, MailChimp, PKWare","<strong>Website: </strong><a href=""http://toopher.com"" target=""_blank"">toopher.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/toopher"" target=""_blank"">@toopher</a><br>
                      <br>
                               <strong> HQ: </strong>Austin, TX<br>
                               <strong>Founded: </strong>September 2011<br>
                               <strong>Product Demoed: </strong>Toopher Access,  Toopher Halo, Toopher Touch<br>
                               <strong>Product Launch: </strong>Q1 2015<br>
                               <strong>Metrics: </strong>20 employees<strong><br>
Presenters: </strong>Josh Alexander (CEO &amp; Co-Founder),
Evan Grim (CTO &amp; Founder)","",http://www.finovate.com/fall14vid/toopher.html,http://www.finovate.com/fall14vid/logos/Toopher.jpg
P2Binvestor,2014,New York,"R. Bruce Morgan (CEO & Co-Founder), G Krista Morgan (President & Co-Founder), Jennie Hoff (COO)","Mark Kent (Partner, Fort Equity), John Spiers (Chairman, P2Binvestor), Andre Kovensky (President, Octavia Investments)","Peter Renton (Founder, Lend Academy), Larry Curran (Strategic Advisor, Vion Investments), Thomas Wolf (Partner, Convector Capital)","John Spiers (Chairman, P2Binvestor)","Capital 2 Thrive, New College Capital","Bhakti Chai, Energy Inspection Services, Rockin' Baby","<strong>Website: </strong><a href=""http://p2bi.com"" target=""_blank"">p2bi.com</a><br>
                  <strong>Blog: </strong><a href=""http://p2bi.com/p2binvestor-blog"" target=""_blank"">p2bi.com/p2binvestor-blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/p2binvestor"" target=""_blank"">@p2binvestor</a><br>
                      <br>
                               <strong> HQ: </strong> Denver,  CO <br>
                               <strong>Founded: </strong>February 2012<br>
                      <strong>Product Demoed: </strong> P2Binvestor is demoing a new borrower  application and loan management dashboard powered by an automated QuickBooks  sync.<strong><br>
Product Launch: </strong>TBD<strong><br>
Metrics: </strong>Money  raised to date: $2M, employees: 13, users: 182 crowd investors and 15 clients,  investor earnings range from 7-15%, lending portfolio: $7M, invoices purchased:  $13M<br>
<strong>Presenters: </strong>Gabriella Krista Morgan (President &amp; Co-Founder),
Clay McIlrath (CTO)","",http://www.finovate.com/fall14vid/p2bi.html,http://www.finovate.com/fall14vid/logos/P2Binvestor.jpg
eMoney Advisor,2014,New York,Edmond Walters (CEO),,,,See a comprehensive list of our partners at emoneyadvisor.com/emacorp/partners.aspx,"eMoney's suite of products has attracted a customer base of leading financial services firms around the country. Several of or top clients include: TD Ameritrade, RBC Wealth Management, Northern Trust, Guardian, Lincoln Financial Group, LPL Financial, MetLife, Mass Mutual, New York Life, and Allstate.","<strong>Website: </strong><a href=""http://emoneyadvisor.com"" target=""_blank"">emoneyadvisor.com</a><br>
                  <strong>Blog: </strong><a href=""http://emoneyadvisor.com/blog"" target=""_blank"">emoneyadvisor.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/emoneyadvisor"" target=""_blank"">@emoneyadvisor</a><br>
                      <br>
                               <strong> HQ: </strong>Conshohocken, PA<br>
                               <strong>Founded: </strong>2000 <br>
                               <strong>Product Demoed: </strong>EMX<br>
                               <strong>Product Launch: </strong>October  2014 <br>
                               <strong>Metrics: </strong>eMoney aggregates more than $1T in  client assets over 878,243 accounts, managed by a network of more than 20,000  financial services professionals across the country.<br>
                               <strong>Presenters: </strong>Kyle Wharton (Business Development),
                               Chad Porche (Development)","",http://www.finovate.com/fall14vid/emoneyadvisor.html,http://www.finovate.com/fall14vid/logos/eMoney.jpg
blooom,2014,New York,"Chris Costello (CFP & Co-Founder), Kevin Conard (Co-Founder), Randy AufDerHeide (CTO & Co-Founder), Rob O'Blennis (JD & CCO), Gerry Hollis (Bus. Dev. Director)",,,,"Yodlee, MorningStar",,"<strong>Website: </strong><a href=""http://blooom.com"" target=""_blank"">blooom.com</a><br>
                  <strong>Blog: </strong><a href=""http://blooom.com/blog"" target=""_blank"">blooom.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/blooominc"" target=""_blank"">@blooominc</a><br>
                      <br>
                               <strong> HQ:</strong> Overland Park, KS<br>
                               <strong>Founded: </strong>February 2013<br>
                               <strong>Product Demoed: </strong>blooom<br>
                               <strong>Product Launch: </strong>September  2014<br>
                      <strong>Metrics: </strong>$250,000 from founders, 6 employees, 35 clients<br>
                      <strong>Presenters: </strong>Chris Costello (Co-Founder &amp; CFP),
                      Randy AufDerHeide (CTO &amp; Co-Founder)","",http://www.finovate.com/fall14vid/blooom.html,http://www.finovate.com/fall14vid/logos/blooom.jpg
HedgeCoVest,2014,New York,"Evan Rapoport (CEO), Joe Goldstein (CFO), Aaron Wormus (CTO)","Evan Rapoport (CEO, HedgeCoVest), Joe Goldstein (CFO, HedgeCoVest), Andrew S. Lerner (Managing Partner, IA Group), Brett G. Baris (Partner, IA Group), Bruce H. Lipnick (CEO, Asset Alliance Advisors), Alex Maffeo (VP, IA Group), David R. Goldfarb (MD, Gems Investment Research)",,"Gems Investment Research, IA Group, Asset Alliance Advisors",,,"<strong>Website: </strong><a href=""http://hedgecovest.com"" target=""_blank"">hedgecovest.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/hedgecovest"" target=""_blank"">@hedgecovest</a><br>
                      <br>
                               <strong> HQ: </strong>West Palm Beach,  FL<strong> </strong><br>
                               <strong>Founded: </strong>April 2013<strong></strong><br>
                               <strong>Product Demoed: </strong>HedgeCoVest<strong></strong><br>
                               <strong>Product Launch: </strong>September  2014<strong> </strong><br>
                               <strong>Metrics: </strong>12  employees, $900,000 raised<strong></strong><br>
                               <strong>Presenters: </strong>Evan Rapoport (CEO),
                               Aaron Wormus (CTO)","",http://www.finovate.com/fall14vid/hedgecovest.html,http://www.finovate.com/fall14vid/logos/HedgeCoVest.jpg
NopSec,2014,New York,"Lisa Xu (CEO), Michelangelo Sidagni (CTO), Steven Leonard (CMO), Suzanne Swanson (VP Sales)",,"Gerhard Eschelbeck (CTO, Sophos & Former CTO, Webroot & Qualys), Stuart Staniford (Former Inventor & Executive, FireEye), Tim Brown (Fellow & Executive Director Security, Dell), Kevin Ketts (Information Security & Risk Management Leader, Symantec Threat Intelligence)",,,"Mid-market organizations in regulated verticals such as banking, insurance, financial services, local government, higher education, and SaaS","<strong>Website: </strong><a href=""http://nopsec.com"" target=""_blank"">nopsec.com</a><br>
                  <strong>Blog: </strong><a href=""http://nopsec.com/blog"" target=""_blank"">nopsec.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/nopsec"" target=""_blank"">@nopsec</a><br>
                      <br>
                               <strong> HQ: </strong>New York, NY<br>
                               <strong>Founded: </strong>January 2009 <br>
                               <strong>Product Demoed: </strong>Unified  VRM<br>
                      <strong>Product Launch: </strong>November 2011<br>
                      <strong>Presenter: </strong>Michelangelo Sidagni (CTO)","",http://www.finovate.com/fall14vid/nopsec.html,http://www.finovate.com/fall14vid/logos/NopSec.jpg
Dynamics,2014,New York,Jeff Mullen (CEO),,,"Adams Capital Management (Series A), Bain Capital Ventures (Series B)",,,"<strong>Website: </strong><a href=""http://dynamicsinc.com"" target=""_blank"">dynamicsinc.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/dynamicsinc"" target=""_blank"">@dynamicsinc</a><br>
                      <br>
                               <strong> HQ: </strong>Pittsburgh, PA<br>
                               <strong>Founded: </strong>November 2007<br>
                               <strong>Presenter: </strong>Jeff Mullen (CEO)","",http://www.finovate.com/fall14vid/dynamicsinc.html,http://www.finovate.com/fall14vid/logos/Dynamics.jpg
Yodlee,2014,New York,"Anil Arora (President & CEO), Mike Armsby (CFO), Joe Polverari (Chief Strategy & Development Officer), Bill Parsons (Chief Customer Officer), Eric Connors (SVP Products), David Lee (CMO), Tim O’Brien (SVP Operations & Information Security), Tom Hempel (SVP Engineering), Arun Anur (SVP Professional Services), Arjun Singh (Managing Director, India)","Anil Arora (Yodlee), Gayle Crowell (Warburg Pincus), Pat Hackett (Warburg Pincus), Bill Harris (Personal Capital), Dennis Phelps (Institutional Venture Partners), Bruce Felt (Former CFO, Auction.com & SuccessFactors)",,"Accel Partners, Institutional Venture Partners, Warburg Pincus","ACI, Andera, FIS, First Data, Q2, Central1, MoneyGuidePro, Xignite","Yodlee powers services for 750+ companies, including top global financial institutions and leading Internet services companies, large and small.","<strong>Website: </strong><a href=""http://yodlee.com"" target=""_blank"">yodlee.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/Yodlee"" target=""_blank"">@Yodlee</a><br>
                      <br>
                               <strong> HQ: </strong>Redwood City, CA<br>
                               <strong>Founded: </strong>February 1999 <br>
                               <strong>Product Demoed: </strong>APInnovation<br>
                               <strong>Product Launch: </strong>September 2014 <br>
                               <strong>Metrics: </strong>Yodlee  is a global financial technology leader with 750+ customers, 64 US patents,  millions of users, and more than 900 employees worldwide. From leading  financial institutions to Fortune 500 Internet companies to the coolest  startups, Yodlee powers the services shaping today’s digital customer  experiences.<strong><br>
Presenters: </strong>John Bird (Product Marketing, Yodlee),
Jon Petz (Product Evangelist, Yodlee),<br>
Avi Lele (CEO, Stockpile)","",http://www.finovate.com/fall14vid/yodlee.html,http://www.finovate.com/fall14vid/logos/Yodlee.jpg
PayItSimple USA Inc.,2014,New York,"Gil Don (CEO & Co-Founder), Alon Feit (CFO & Co-Founder)","Gil Don (CEO & Co-Founder), Alon Feit (CFO & Co-Founder), Joseph Kriegsfield (Director)","Yehoshua Abramovich (Advisory Board Chairman), Yuval Tal (Advisory Board Member)",Private Angel Investor,Card Connect,,"<strong>Website: </strong><a href=""http://payitsimple.com"" target=""_blank"">payitsimple.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/payitsimple"" target=""_blank"">@payitsimple</a><br>
                      <br>
                               <strong> HQ: </strong>New York, NY<br>
                               <strong>Founded: </strong>August 2013<br>
                               <strong>Product Demoed: </strong>PayItSimple<br>
                               <strong>Product Launch: </strong>June 2014<br>
                               <strong>Metrics: </strong>12 employees,  $4.3M raised to date from private seed investors<br>
                               <strong>Presenters: </strong>Alon Feit (CFO &amp; Co-Founder),
                               Stacy Fassberg (VP, Marketing)","",http://www.finovate.com/fall14vid/payitsimple.html,http://www.finovate.com/fall14vid/logos/PayItSimple.jpg
MoneyDesktop/MX,2014,New York,,,,,,,"<strong>Presenters: </strong>Ryan Caldwell (CEO &amp;   Founder), Matt West   (Account Executive)","",http://www.finovate.com/fall14vid/moneydesktop.html,http://www.finovate.com/fall14vid/logos/MoneyDesktop.jpg
mCASH,2014,New York,"Daniel Døderlein (CEO & Founder), Anders Bakke (COO), Thomas Carlsen (Co-Founder & Head of Legal), Lars Stene (CCO), Joachim Krüger (CTO), Bjørn Skyberg (CFO)","Ashley Head (Founder, Datacash) Torleif Ahlsand (Northzone Ventures), Harald Andersen (Founder, Point Transaction Systems), Kjell Hole (Professor, University of Bergen)",,"Northzone Ventures, Entreé Capital","Point, Google, BN Bank, POS, E-Commerce providers covering 85% of the Norwegian market","Burger King, Starbucks, TGI Fridays, Bunnpris, Deli De Luca, Europark","<strong>Website: </strong><a href=""http://mca.sh"" target=""_blank"">mca.sh</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/PaywithmCASH"" target=""_blank"">@PaywithmCASH</a><br>
                      <br>
                               <strong> HQ: </strong> Oslo,  Norway <br>
                               <strong>Founded: </strong>January 2010<br>
                               <strong>Product Demoed: </strong>mCASH<br>
                               <strong>Product Launch: </strong>March 2014<br>
                               <strong>Metrics: </strong>Operating under a EU E-money license,  $9.5M in funding (seed/series A), 25 employees, several high profile customers  and partners<br>
                               <strong>Presenters: </strong>Daniel Døderlein (CEO &amp; Founder),
                               Anders Nicolai Bakke (COO)","",http://www.finovate.com/fall14vid/mcash.html,http://www.finovate.com/fall14vid/logos/mCASH.jpg
Fiserv,2014,New York,"Jeffery Yabuki (CEO, President & Director), Thomas Hirsch (CFO, EVP & Treasurer), Mark Ernst (COO & EVP), Rahul Gupta (EVP & Group President Digital Solutions), Lynn McCreary (EVP General Counsel), Shawn Donovan (EVP & CSO), Kevin Gregoire (Group President Financial Institutions), Kevin Pennington (EVP HR), Clifford Skelton (Group President Enterprise Technology), Steve Tait (EVP & Group President International), Byron Vielehr (Group President Depository Institution Services)","Jeffery Yabuki (CEO, President & Director), Christopher Flink (Director), Donald Dillon (Chairman), Daniel Kearney (Director), Dennis Lynch (Director), Denis O’Leary (Director), Glenn Renwick (Director), Kim Robak (Director), Doyle Simons (Director), Thomas Wertheimer (Director)",,,,,"<strong>Website: </strong><a href=""http://fiserv.com"" target=""_blank"">fiserv.com</a><br>
                  <strong>Blog: </strong><a href=""http://fiserv.com/the-point.htm"" target=""_blank"">fiserv.com/the-point.htm</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/Fiserv"" target=""_blank"">@Fiserv</a><br>
                      <br>
                               <strong> HQ: </strong> Brookfield, WI<br>
                               <strong>Founded: </strong>July 1984<br>
                               <strong>Product Demoed: </strong>Mobiliti™ <br>
                               <strong>Product Launch: </strong>September  2014<br>
                      <strong>Metrics: </strong>$4.81B revenue in 2013, 21,000 associates  worldwide, 14,500 financial institutions and business clients worldwide<br>
                      <strong>Presenters: </strong>Andy Barnett (Sr. Technical Sales Consultant),
                      Mimi Joy (Mobile Account Specialist),<br>
                      David Carr (Innovations Manager)","",http://www.finovate.com/fall14vid/fiserv.html,http://www.finovate.com/fall14vid/logos/Fiserv.jpg
VerifyValid,2014,New York,"Paul Doyle (CEO), Dean Tribble (CTO), Steve Sprindis (CFO), Patrick Lethert (CMO)",,"John Tomaszewski, Edward P. Gibson JD, Donald R. Hollis, David LaFalce, Kevin Walker, Jim Treleaven, Bill Noakes, Sonya Sigler, Richard Sweeney, J David Quilter, Peter Kuper, Bruce Moulton, Kenneth McHugh, Kevin Han, Ed Niehaus, James Ransome Ph.D, Linda Chamberlain Ph.D, Paul Mudde Ph.D, Scott Brew, Eric Cook, Erik Loehfelm",,"Michigan Bankers Association, Deluxe, IBM",,"<strong>Website: </strong><a href=""http://verifyvalid.com"" target=""_blank"">verifyvalid.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/verifyvalid"" target=""_blank"">@verifyvalid</a><br>
                      <br>
                               <strong> HQ: </strong>Grand Rapids, MI<br>
                               <strong>Founded: </strong>2011 <br>
                               <strong>Product Demoed: </strong>VerifyValid  Mobile Checkbook <br>
                               <strong>Product Launch: </strong>October 2014 <br>
                               <strong>Metrics: </strong>More than 50,000 users  of the system (including payees) and more than $400M in transaction value to  date<strong><br>
Presenter: </strong>Paul Doyle (CEO &amp; Founder)","",http://www.finovate.com/fall14vid/verifyvalid.html,http://www.finovate.com/fall14vid/logos/VerifyValid.jpg
EverSafe,2014,New York,"Howard L. Tischler (Founder & CEO), Elizabeth Loewy (SVP Industry Relations), Christopher Grover (VP Marketing), Broc Sleek (VP Operations), Chris Federowicz (CTO)","Howard L. Tischler (Founder & CEO, EverSafe & Lead Director, DealerTrack Technologies), Jay Goldberg (Senior MD, Hudson Ventures), Gary Farha (Co-Founder, President & CEO, CustomerFirst Renewables)","Risa Breckman (LCSW), Gary Farha (Co-Founder, President & CEO, CustomerFirst Renewables), Krishna Gopinathan (President & Chief Analytics Officer, Global Analytics & Primary Inventor, Falcon credit card fraud detection system), Brad Keller (SVP, The Santa Fe Group), Vince Passione (Founder & CEO, Lendkey), Kathleen Quinn (Executive Director, National Adult Protective Services Association), Robin Slade (SVP & COO, The Santa Fe Group), Vaughn Swartz (MD & Head of Compliance, TD Securities US)",Business angels with senior management and board positions in the financial services and technology industries,"Yodlee, Intuit, Equifax, TransUnion",,"<strong>Website: </strong><a href=""http://eversafe.com"" target=""_blank"">eversafe.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/EverSafeSeniors"" target=""_blank"">@EverSafeSeniors</a><br>
                      <br>
                               <strong> HQ: </strong> Columbia, MD<br>
                               <strong>Founded: </strong>January 2012 <br>
                               <strong>Product Demoed: </strong>EverSafe <br>
                               <strong>Product Launch: </strong>Spring  2014 (soft launch)<br>
                      <strong>Metrics: </strong>$1.5M raised, 7 employees<br>
                      <strong>Presenters: </strong>Howard Tischler (CEO &amp; Founder),
                      Elizabeth Loewy (SVP Industry Relations &amp; General Counsel)","",http://www.finovate.com/fall14vid/eversafe.html,http://www.finovate.com/fall14vid/logos/EverSafe.jpg
Larky,2014,New York,"Andrew Bank (Co-Founder), Gregg Hammerman (Co-Founder)",,David Fry (Formerly of Fry Multimedia),"Anil Aggarwal (Co-Founder, Money2020), Jonathan Weiner (Co-Founder, Money2020)",Filene Research Institute,"Blue Cross Blue Shield of Michigan, Plante Moran, Detroit Regional Chamber of Commerce, several banks and credit unions yet to be announced","<strong>Website: </strong><a href=""http://larky.com"" target=""_blank"">larky.com</a><br>
                  <strong>Blog: </strong><a href=""http://info.larky.com/blog"" target=""_blank"">info.larky.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/getlarky"" target=""_blank"">@getlarky</a><br>
                      <br>
                               <strong> HQ: </strong> Ann Arbor, MI<br>
                               <strong>Founded: </strong>January 2012 <br>
                               <strong>Product Demoed: </strong>Larky <br>
                               <strong>Product Launch: </strong>June 2013 <br>
                               <strong>Metrics: </strong>$2.3M,  12 employees<strong></strong><br>
                               <strong>Presenters: </strong>Andrew Bank (Co-Founder),
                               Gregg Hammerman (Co-Founder)","",http://www.finovate.com/fall14vid/larky.html,http://www.finovate.com/fall14vid/logos/Larky.jpg
Settle,2014,New York,"Stas Matviyenko (CEO), Anna Polishchuk (COO), Denis Gulagin (CFO), Victor Ershov (CTO)","Stas Matviyenko (CEO), Anna Polishchuk (COO), Igor Shoifot (US Entrepreneur)",,"Life.SREDA ($1.5M), Imperious Group ($300,000)","PrivatBank, ProbusinessBank, LifePAD","PrivatBank, ProbusinessBank","<strong>Website: </strong><a href=""http://hellosettle.com"" target=""_blank"">hellosettle.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/hellosettle"" target=""_blank"">@hellosettle</a><br>
                      <br>
                               <strong> HQ: </strong> Kyiv,  Ukraine <br>
                               <strong>Founded: </strong>August 2014<br>
                               <strong>Product Demoed: </strong>Settle<br>
                               <strong>Product Launch: </strong>August 2014<br>
                               <strong>Metrics: </strong>$1.8M raised, 15  employees, 50,000 users<br>
                               <strong>Presenters: </strong>Stas Matviyenko (CEO),
                               Anna Polishchuk (COO)","",http://www.finovate.com/fall14vid/settle.html,http://www.finovate.com/fall14vid/logos/Settle.jpg
Geezeo,2014,New York,"Shawn Ward (CEO), Pete Glyman (President), Bryan Clagett (CMO)",,,,"q2, Symitar, Fiserv, iPay, MEA Enterprises, Jack Henry, CSI, Wescom Resources Group, Payveris and many others","Banks and credit unions, including Regions Bank","<strong>Website: </strong><a href=""http://geezeo.com"" target=""_blank"">geezeo.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/Geezeo"" target=""_blank"">@Geezeo</a><br>
                      <br>
                               <strong> HQ: </strong>Tolland,  CT<br>
                               <strong>Founded: </strong>June 2006<br>
                               <strong>Product Demoed: </strong>TruBusiness - Business  Financial Management <br>
                               <strong>Product Launch: </strong>November  2014<br>
                               <strong>Metrics: </strong>Geezeo, a rapidly  growing, established FinTech firm, is privately held, has 30 employees, and over 300 financial  institutions as clients.<br>
                               <strong>Presenters: </strong>Shawn Ward (CEO),
                               Peter Glyman (President)","",http://www.finovate.com/fall14vid/geezeo.html,http://www.finovate.com/fall14vid/logos/Geezeo.jpg
MoneyStream,2014,New York,"Mike Bertrand (CEO), Gillian Verga (VP Product)","Todd McGuire (SVP, First Data Corp)","David Kinser (Angel Investor), Bruno Bowden (Partner, Data Collective), Jim Del Favero (CPO, Personal Capital), Derek Butts (VP, Workday), John Stanton (President, SVG Partners)",,,,"<strong>Website: </strong><a href=""http://moneystream.com"" target=""_blank"">moneystream.com</a><br>
                  <strong>Blog: </strong><a href=""http://moneystream.com/blog"" target=""_blank"">moneystream.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/MoneyStreamApp"" target=""_blank"">@MoneyStreamApp</a><br>
                      <br>
                               <strong> HQ: </strong> Los Gatos, CA<br>
                               <strong>Founded: </strong>September 2012<br>
                               <strong>Product Demoed: </strong>MoneyStream<br>
                               <strong>Product Launch: </strong>October 2013<br>
                               <strong>Presenters: </strong>Mike Bertrand (CEO),
                               Gillian Verga (VP Product)","",http://www.finovate.com/fall14vid/moneystream.html,http://www.finovate.com/fall14vid/logos/MoneyStream.jpg
MaxMyInterest,2014,New York,"Gary Zimmerman (Founder & CEO), Richard Wu (Director of Engineering)",,"Jan Rivkin (Strategy Professor, Harvard Business School), Harriet Pearson (Partner, Hogan Lovells & Former Head of Data Privacy and Security, IBM), Dr. Gary McGraw (CTO, Cigital), Andrew Klaber (Investment Analyst, Paulson & Co.), Andrew Hecht (Outside General Counsel)","Max is backed by its founder and sophisticated investors including family offices, a Fortune 500 CEO, and investment professionals from leading hedge funds, real estate and private equity funds.",,"Mass affluent, high net worth, and ultra high net worth individual investors","<strong>Website: </strong><a href=""http://maxmyinterest.com"" target=""_blank"">maxmyinterest.com</a><br>
                  <strong>Blog: </strong><a href=""http://blog.maxmyinterest.com"" target=""_blank"">blog.maxmyinterest.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/maxmyinterest"" target=""_blank"">@maxmyinterest</a><br>
                      <br>
                               <strong> HQ: </strong>New York, NY<br>
                               <strong>Founded: </strong>July 2013<br>
                               <strong>Product Demoed: </strong>MaxMyInterest<br>
                      <strong>Product Launch: </strong>April 2014<br>
                      <strong>Presenters: </strong>Gary Zimmerman (CEO &amp; Founder),
                      Richard Wu (Director, Engineering)","",http://www.finovate.com/fall14vid/maxmyinterest.html,http://www.finovate.com/fall14vid/logos/MaxMyInterest.jpg
Linqto,2014,New York,"Bill Sarris (CEO), Vicki Lawrence (COO), Carla Hudson (CFO), Jared Reed (CTO), Erik Thomas (CSA), Dune Thomas (VP Mobile Banking Solutions)",,,Employee owned and funded,,"Intuit, Digital Insight, NCR, Stanford, Santa Clara University, PBS, YouGov, MacNeil Lehrer Productions, Obama for America","<strong>Website: </strong><a href=""http://linqto.com"" target=""_blank"">linqto.com</a><br>
                  <strong>Blog: </strong><a href=""http://blog.linqto.com"" target=""_blank"">blog.linqto.com</a><br>
                      <br>
                               <strong> HQ: </strong>Pebble  Beach, CA <br>
                               <strong>Founded: </strong>January 2010<br>
                               <strong>Product Demoed: </strong>Personal  Banker<br>
                               <strong>Product Launch: </strong>September  2014<strong></strong><br>
                               <strong>Presenters: </strong>Dune Thomas (VP Mobile Banking Solutions),
                               Bill Sarris (CEO)","",http://www.finovate.com/fall14vid/linqto.html,http://www.finovate.com/fall14vid/logos/Linqto.jpg
EyeLock,2014,New York,"James Demitrieus (CEO), Keith Hanna (Chief Innovation Officer), Jeff Carter (CTO), Anthony Antolino (CMO & Bus. Dev.), Philip Petracca (Chief Product Dev. Officer)",,,,"Stanley, Voxx, MorphoTrust USA",Bank of America,"<strong>Website: </strong><a href=""http://eyelock.com"" target=""_blank"">eyelock.com</a><br>
                  <strong>Blog: </strong><a href=""http://eyelock.com/index.php/in-the-news/blog"" target=""_blank"">eyelock.com/index.php/in-the-news/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/EyeLockCorp"" target=""_blank"">@EyeLockCorp</a><br>
                      <br>
                               <strong> HQ: </strong> New  York, NY <br>
                               <strong>Founded: January </strong>2006<br>
                               <strong>Product Demoed: </strong>myris<br>
                      <strong>Product Launch: </strong>September 2014<br>
                      <strong>Presenters: </strong>Anthony Antolino (Chief Marketing &amp; Business Development Officer),
                      Jeff Carter (CTO)","                    <strong>How they describe themselves: </strong>EyeLock, a leader in iris  authentication, provides the highest level of security with EyeLock ID. The company’s  proprietary, embeddable technology enables convenient, secure authentication of  individuals across physical and logical environments. EyeLock’s software has been  integrated across consumer and enterprise platforms, eliminating the need for  PINs and passwords. No two irises are alike, and outside DNA, iris is the most  accurate human identifier. Corporations across the Fortune 500 recognize the  level of security EyeLock provides due to its FAR,  ease of use, and scalability. As a sponsor member of the FIDO Alliance, EyeLock is dedicated to providing  digital privacy security.                    <p><strong>How they describe their product/innovation:</strong> Never type a password  again— myris is a USB powered Iris Identity Authenticator that grants you  access to your digital world.</p>                    <p>myris uses patented  technology to convert your individual iris characteristics to a code unique  only to you, then matches your encrypted code to grant access to your PCs,  e-commerce sites, applications, and data – all in less than 1 second.</p>",http://www.finovate.com/fall14vid/eyelock.html,http://www.finovate.com/fall14vid/logos/EyeLock.jpg
