Video Show,Show year,Location,Key Execs,Key Board Members,Key Advisory Board Members,Key Investors,Key Partnerships,Key Customers,Company Details,Company Profile,Url,Image
Encap Security,2014,Spring,"Thomas Bostrøm Jørgensen (CEO), Adam Dolby (VP US Bus. Dev.)","Dag Fjørtoft (Chairman, Encap), Arne Tonning (Board Member, Partner Alliance Venture), Herbjørn Skjervold (Managing Partner, ProVenture)",,"ProVenture Seed, Alliance Venture Polaris, employees and other active key resources, founder and other former employees",,"Evry, Mtrust, EnterCard, Signicat, Sparebanken Vest, Santander Norway","<strong>Website: </strong><a href=""http://encapsecurity.com"" target=""_blank"">encapsecurity.com</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/@encapsecurity"" target=""_blank"">@encapsecurity</a><br>
                      <br>
                               <strong> HQ: </strong>Palo  Alto, CA <br>
                               <strong>Founded: </strong>October 2012<br>
                               <strong>Product Demoed: </strong>Encap  Smarter Authentication<br>
                               <strong>Product Launch: </strong>November  2012<br>
                               <strong>Metrics: </strong>Based in Oslo and Palo Alto, Encap  Security’s management team has more than 60 years experience and an unrivaled  pedigree in authentication, identity management, mobile app security, and  mobile financial services. Following a recent funding round, the total  investment in Encap Security stands at $6.6 million. Encap Security's solution is  used by major financial institutions, enterprises, and technology integrators  including Santander Consumer Bank Norway, EnterCard, and Sparebanken Vest.<br>
                    <strong>Presenters: </strong>Adam Dolby (VP Business Development),
                    David Nayes (Director of Sales)","                    <strong>How they describe themselves: </strong>Encap  Security is the only in-app banking-grade authentication solution that creates an  omnichannel experience for financial institutions and customers alike. We offer  Smarter Authentication – a truly user-friendly, seamless, and scalable way to  create the same experience for the customer regardless of how they are currently  interacting with their financial institution. Smarter Authentication combines  uncompromising speed, security, and simplicity to boost the adoption of financial  services and applications, allowing for the application of security to  previously unexplored areas of the customer experience.                    <p><strong>How they describe their product/innovation:</strong> In the wake  of Target and other large retail breaches, Encap has the first solution that can  be used to combat CNP fraud – the way most compromised cards are used. Encap is  demoing our authentication solution with an emphasis on the importance of  thinking outside of the traditional “authentication box.” Because Smarter  Authentication is complex, secure, and provides a simple and seamless user  experience, it is ideally suited to address not only mobile and online banking  transactions, but also CNP transaction approval.</p>",http://www.finovate.com/spring14vid/encapsecurity.html,http://www.finovate.com/spring14vid/logos/Encap.jpg
LOYAL3,2014,Spring,"Barry Schneider (CEO), Stephen Klein (Chief Creative Officer), Bill Blais (EVP), Jack Thrift (CFO), Matt Ho (CTO), Jeff Modisett (Chief Legal Officer), Robin Weiss (SVP Strategic Partnerships), Daniel Garzia (VP Digital Marketing), Matt Gidney (VP Corporate Marketing & Bus. Dev.), Andres Davidovits (VP Experience), Blake Schneider (VP Operations), Ramesh Ragineni (VP Technical Operations), Carl Landauer (General Counsel)","Barry Schneider (LOYAL3), Stephen Klein (LOYAL3), Chris Brahm (Bain & Company), Chris Kelly (Entrepreneur), Jim Hale (FTV Capital), Maggie Wilderotter (Frontier Communications), Marc Metcalf (Independent Management Consultant)","Kay Koplovitz, Dixon Doll, Solomon D. “Sol” Trujillo","Barry Schneider (CEO, LOYAL3), Chris Kelly (former Chief Privacy Officer, Facebook), Michael and Gigi Pritzker Pucker","AMC Entertainment Holdings, Santander Consumer USA, Endurance International Group, Kate Spade, DreamWorks Animation SKG",,"<strong>Website: </strong><a href=""http://loyal3.com"" target=""_blank"">loyal3.com</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@LOYAL3"" target=""_blank"">@LOYAL3</a><br>
                      <br>
                               <strong> HQ: </strong>San Francisco,  CA<br>
                               <strong>Founded:</strong> November 2008<br>
                               <strong>Product Demoed:</strong> LOYAL3 Social IPO Platform™<br>
                               <strong>Product Launch:</strong> October 2013<br>
                               <strong>Metrics:</strong> To date, LOYAL3 has 102 employees and raised more than $60M in  funding.<br>
                  <strong>Presenters: </strong>Barry Schneider (CEO)","                    <strong>How they describe themselves: </strong>LOYAL3 offers a  social technology platform that democratizes the investing process for  individual investors and brand aficionados. Using the LOYAL3 Social IPO  Platform™, people can invest in IPOs and stocks with small amounts and pay no  fees. LOYAL3’s proprietary IPO platform allows companies going public to sell  IPO stock to individual investors at the same price as Wall Street. LOYAL3 is  democratizing the capital markets by making investing simple and fee-free for  the millions that don’t currently invest.                    <p><strong>How they describe their product/innovation:</strong> The LOYAL3 Social IPO  Platform™ opens up IPO access to large numbers of individuals like never  before. LOYAL3 partners with pre-IPO companies to give them a way to include  consumers, employees, partners, and fans in their IPO. Through LOYAL3, people  can start investing in an IPO with just $100 and pay no fees to purchase the  IPO stock. LOYAL3’s IPO platform augments and complements the traditional IPO  investing process by providing a way for small investors to participate in IPOs  at the same price per share and at the same time as Wall Street institutions  and their largest customers.</p>",http://www.finovate.com/spring14vid/loyal3.html,http://www.finovate.com/spring14vid/logos/LOYAL3.jpg
Wipit,2014,Spring,"Richard Kang (CEO & Co-Founder), Job Tucker (CMO & Co-Founder), John Janes (COO), Morris Li (EVP Finance), Vikram Kanodia (EVP Strategy), Larry Herbinaux (VP Engineering & Chief Software Architect), Nate Lu (Creative Director)","Arjan Schutte (Board of Directors), John Tantum (Executive Chairman)",Michael Lanzon (Board of Advisors & Co-Founder),"Euronet Worldwide (NASDAQ: EEFT), H&R Block (NYSE: HRB), Core Innovation Capital","epay Worldwide, Ria Financial Services, Boost Mobile, Sprint",,"<strong>Website: </strong><a href=""http://wipit.me"" target=""_blank"">wipit.me</a><br>
                      <br>
                               <strong> HQ: </strong>Pasadena, CA<br>
                               <strong>Founded</strong>: May 2010<br>
                               <strong>Product Demoed:</strong> Boost Mobile Wallet by Wipit<br>
                               <strong>Product Launch:</strong> May 2013<br>
                  <strong>Presenters: </strong>Richard Kang (CEO), 
                  John Janes (COO)","                    <strong>How they describe themselves: </strong>Wipit provides  integrated mobile payments, financial services, and prepaid debit card  convenience to underbanked consumers. The company has partnered with Sprint, a  leading wireless service provider, to launch the revolutionary, co-branded  Boost Mobile Wallet and Sprint Money Express mobile wallet service. Wipit has  commercial partnerships with and has been invested in by Euronet Worldwide (NASDAQ:  EEFT), H&amp;R Block (NYSE: HRB), and Core Innovation Capital. For more  information, visit <a href=""http://www.wipit.me"" target=""_blank"">www.wipit.me</a>.                    <p><strong>How they describe their product/innovation:</strong> Boost Mobile Wallet lets  millions of prepaid wireless customers load cash to their mobile wallet account,  then use the funds to send international money transfers, pay bills, or top-up  their Boost Mobile phone − all from the convenience of Wipit’s Mobile Wallet  app on their Android smartphone or iPhone. Customers are also provided with a  convenient, cost-saving alternative to retail check cashing via Wipit’s in-app  Quick Check service. For customers that prefer the convenience of card  payments, Boost Mobile Wallet includes a personalized, linked Visa prepaid card  that can be used for ATM withdrawals and Visa purchases.</p>",http://www.finovate.com/spring14vid/wipit.html,http://www.finovate.com/spring14vid/logos/Wipit.jpg
TextPower,2014,Spring,"Scott Goldman (CEO & Co-Founder), Mark Nielsen (Co-Founder & Executive Chairman)","Scott Goldman (TextPower), Mark Nielsen (TextPower), Gordon Clemons (Verity Ventures)",,Tech Coast Angels (largest angel investor company in the USA),"Milsoft, Daffron, DataVoice","TaxAct, NJ Court System, La Quinta Hotels, Satellite Tracking of People, Spartan Stores, PeopleNet","<strong>Website: </strong><a href=""http://textpower.com"" target=""_blank"">textpower.com</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/@TextKey"" target=""_blank"">@TextKey</a>  | <a href=""http://twitter.com/@TextPower"" target=""_blank"">@TextPower</a><br>
                      <br>
                               <strong> HQ: </strong>San  Juan Capistrano, CA<br>
                               <strong>Founded:</strong> February 2009 (TextKey™ product created  2012)<br>
                               <strong>Product Demoed:</strong> TextKey™<br>
                               <strong>Product Launch:</strong> April 2014<br>
                  <strong>Presenters: </strong>Scott Goldman (CEO &amp; Co-Founder)","",http://www.finovate.com/spring14vid/textpower.html,http://www.finovate.com/spring14vid/logos/TextPower.jpg
Kreditech,2014,Spring,"Sebastian Diemer (CEO & Founder), Alexander Graubner-Müller (CTO & Founder), Tobias Reisberger (COO), Rene Griemens (CFO), Daniel Schlotter (CMO), Oliver Schimek (CIO)","Heiko Hubertz, Sebastian Diemer (Kreditech), Alexander Graubner-Müller (Kreditech), Jon Soberg (Blumberg Capital), Pawel Chudzisnki (Point Nine Capital)",,"Point Nine Capital, Kreos Capital, Blumberg Capital, Global Founder Capital, Heiko Hubertz, Young Brains, Michael Brehm, Stefan Glaenzer, Felix Haas, Grey Corp",,,"<strong>Website: </strong><a href=""http://kreditech.com"" target=""_blank"">kreditech.com</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@kreditech"" target=""_blank"">@kreditech</a><br>
                      <br>
                               <strong> HQ: </strong>Hamburg, Germany<br>
                               <strong>Founded: </strong>February 2012<br>
                               <strong>Product Demoed: </strong>Kredito24, K24,  Zaimo<br>
                               <strong>Product Launch: </strong>September  2012 (in first market Poland)<br>
                      <strong>Metrics: </strong>10,000 data points per loan application; less  than 1 minute average decision time per loan application; &gt;$15M revenue run  rate (as of March 2014); &gt;$55M issued loans run rate (as of March 2014); &lt;10%  average loan loss in all established, profitable core markets (Poland, Spain, Russia,  Czech); industry average emerging markets: &gt;30%; 70% - 90% growth per  quarter; over 600,000 applications processed in total; various credit products  available in Poland, Spain, Czech, Russia, Australia &amp; Mexico; releasing  further retail banking products in 2014 (e.g. Prepaid Credit Cards, e-Wallets);  over 80 full-time employees from 26 different countries; Kreditech is launching  in 4 to 6 countries in 2014; company (groupwide) profitable by Mid 2014; $22.5M  raised by most influential European business angels (Samwer Brothers, Michael  Brehm, Stefan Glaenzer, Heiko Hubertz, etc.) and fonds (Global Founders  Capital, Point Nine Capital, Kreos Capital, Greycorp, etc.)<br>
                  <strong>Presenters: </strong>Sebastian Diemer (CEO &amp; Founder),
                  Alexander Graubner-Müller (CTO &amp; Founder)","                    <strong>How they describe themselves: </strong>Kreditech is building the  consumer-focused finance company for the 21st century. With its  proprietary big-data scoring and underwriting technology, the Hamburg-based  startup has built the foundation for personal finance products in emerging  consumer finance markets. Customers can apply for short-term and long-term  loans from €50 to €2,500, credit cards and other finance products in just a few  minutes online or over mobile phones. Creditworthiness of a user is determined  in less than a minute on the basis of up to 10,000 data points and loans are  paid out automatically within minutes to a customer’s bank account, credit card  or e-wallet.                    <p><strong>How they describe their product/innovation:</strong> The self-learning proprietary algorithm scores an applicant’s  creditworthiness within less than a minute. Without having to go to a bank, the  customer can apply for his loan online or mobile, whenever and wherever. If  accepted, the loan is paid out to their bank account within 10 minutes. Compared  to traditional rating organizations like Schufa or FICO, the Kreditech Algorithm  only studies the financial situation of the customer in the moment of the  application and does not use historical data. The technology is therefore  flexible and can quickly enter and adapt to new markets. There are 5 billion people  in the world that have no access to financial products, and our technology is  able to provide that to them.</p>",http://www.finovate.com/spring14vid/kreditech.html,http://www.finovate.com/spring14vid/logos/Kreditech.jpg
PrivatBank,2014,Spring,,,,,,,"<strong>Website: </strong><a href=""http://privatbank.ua"" target=""_blank"">privatbank.ua</a><br>
                      <br>
                               <strong> HQ: </strong>Dnepropetrovsk,  Ukraine<br>
                               <strong>Founded:</strong> March 1992<br>
                               <strong>Product  Demoed:</strong> Topless ATM<br>
                      <strong>Product  Launch:</strong> October  2013<br>
                  <strong>Presenters: </strong>Kristina Chaiykovskaya (Deputy Head of Center of E-Business),
                  Maria Gurina (Deputy Head of E-Commerce Department)","                    <strong>How they describe themselves: </strong>International  banking group PrivatBank serves over 20 million corporate and individual  сustomers in Ukraine, Latvia, Portugal, Italy, Cyprus, and Georgia. PrivatBank  is the leader of the Ukrainian banking sector and one of the largest issuers  and acquirers of payment cards in Eastern Europe. It is one of the most  innovative banks in the world.                    <p><strong>How  they describe their product/innovation:</strong> Topless  Android ATM is an ATM without an unnecessary TOP. It is equipped with an  Android phone with an NFC chip, Raspberry Pi, cash dispenser, and safe. The ATM  has minimum electronics and no keypad or buttons and is controlled by  customers’ smartphones.</p>",http://www.finovate.com/spring14vid/privatbank.html,http://www.finovate.com/spring14vid/logos/PrivatBank.jpg
EyeVerify,2014,Spring,"Toby Rush (CEO & Founder), Chris Barnett (EVP Global Sales & Marketing)",,,,AirWatch,,"<strong>Website: </strong><a href=""http://eyeverify.com"" target=""_blank"">eyeverify.com</a><br>
                  <strong>Blog: </strong><a href=""http://eyeverify.com/blog"" target=""_blank"">eyeverify.com/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/@eyeverify"" target=""_blank"">@eyeverify</a><br>
                      <br>
                               <strong> HQ: </strong>Kansas  City, KS<br>
                               <strong>Founded:</strong> January 2012<br>
                               <strong>Product Demoed:</strong> Eyeprint Verification<br>
                      <strong>Product Launch:</strong> June  2014<br>
                  <strong>Presenters: </strong>Toby Rush (CEO &amp; Founder),
                  Chris Barnett (EVP Global Sales &amp; Marketing)","                    <strong>How they describe themselves: </strong>The core  capability of verifying the identity of a user accessing a system cuts across a  wide range of customers. Biometric authentication has traditionally been  limited to government and ultra-high security marketplaces. EyeVerify is now  bringing eye vein biometrics to the commercial and consumer markets in a manner  that is secure, scalable, and convenient. We are targeting the following market  segments: MDM and BYOD, Mobile Banking and Payment Platforms, Security Software  Providers, Mobile Device OEM's, Multi Factor User Authentication, and Single  Sign On.                    <p><strong>How they describe their product/innovation:</strong> EyeVerify is the  exclusive provider of Eyeprint Verification, a highly accurate and secure biometric  for mobile devices. Eyeprint Verification delivers a password-free mobile  experience and secure authentication at a glance. This patented solution uses  existing cameras on smartphones to image and pattern match the blood vessels in  the whites of the eye.</p>",http://www.finovate.com/spring14vid/eyeverify.html,http://www.finovate.com/spring14vid/logos/EyeVerify.jpg
FinBuddy,2014,Spring,"Shyam Maddali (CEO & Founder, ex-eBay)",,"Murli Thirumale (CEO & Co-Founder, Ocarina Networks - sold to Dell)",Self-funded,,,"<strong>Website: </strong><a href=""http://finbuddy.com"" target=""_blank"">finbuddy.com</a><br>
                      <br>
                      <strong> HQ: </strong>Fremont, CA<br>
                               <strong>Founded: </strong>May  2013<br>
                               <strong>Product Demoed: </strong>FinBuddy<br>
                               <strong>Product Launch: </strong>April  2014<br>
                               <strong>Metrics: </strong>Funding: self-funded; Number  of employees: 1 full-time, 2 part-time; Revenues: pre-revenue, launching at  FinovateSpring 2014; Registered users: ~200 (friends &amp; family); Website traffic:  launching at FinovateSpring 2014<br>
                  <strong>Presenters: </strong>Shyam Maddali (CEO &amp; Founder),
                  Baker Nanduru (Co-Founder)","                    <strong>How they describe themselves: </strong>FinBuddy is an early-stage startup focused on helping individual  investors make smarter and confident investment decisions. Whereas Mint.com made  it easier for individuals to manage their personal expenditures, FinBuddy transforms  rigorous analysis into intuitive and easy-to-use tools to identify, analyze,  and monitor investments. Finally, the added portfolio feedback from trusted  social networks and community experts sharpen the user’s investment acumen.  FinBuddy is the next step in the evolution of personal investing.                    <p><strong>How they describe their  product/innovation:</strong> Currently, retail investors are  stifled by the lack of tools that speak the same language at the level they can  comprehend. Vast amount of data that is available creates more confusion and  does not provide enough actionable information or insight to investors. FinBuddy  addresses this gap by providing very easy-to-understand tools that don’t scare  investors but engage them without losing depth and rigor. We provide an  intuitive stock &amp; fund screener that helps investors discover new  investment opportunities similar to how we discover things in the real world.  We provide a comprehensive way to evaluate an investment without overwhelming  the user. Our portfolio analysis toolset helps individuals understand their  portfolios in easy terms and track them better. Finally, trusted friends can provide  commentary and feedback on the investor’s portfolio and share tips over  FinBuddy’s social network feed. Social collaboration combined with personalized  and relevant insights help individuals make sound investment decisions.</p>",http://www.finovate.com/spring14vid/finbuddy.html,http://www.finovate.com/spring14vid/logos/FinBuddy.jpg
Kofax,2014,Spring,"Reynolds C. Bish (CEO), James Arnold, Jr. (CFO), Grant Johnson (CMO), Howard Dratler (EVP Field Operations)","Greg Lock, Bruce Powell, Chris Conway, Mark Wells, William T. Comfort III, Joe Rose, Wade W. Look",,,,,"<strong>Website: </strong><a href=""http://kofax.com"" target=""_blank"">kofax.com</a><br>
                  <strong>Blog:</strong> <a href=""http://www.kofax.com/blog/"" target=""_blank"">kofax.com/blog</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@kofax"" target=""_blank"">@kofax</a><br>
                      <br>
                               <strong> HQ: </strong>Irvine, CA<br>
                               <strong>Founded:</strong> January 1985<br>
                               <strong>Product Demoed:</strong> Kofax Mobile Capture Platform<br>
                               <strong>Product Launch:</strong> January 2014<br>
                      <strong>Metrics:</strong> Subsidiaries in 30 countries, &gt;1,200 employees, 800+ channel partners,  products available in 70+ countries, 20,000+ customers, NASDAQ &amp; London  Stock Exchange (KFX), $266.3M in revenue, $46.3M adjusted EBITA<br>
                  <strong>Presenters: </strong>Drew Hyatt (SVP Mobile Applications),
                  Dimitri Snowden (Sr. Sales Engineer)","                    <strong>How they describe themselves: </strong>Kofax<span class=""super"">®</span>  is a leading provider of smart process applications that simplify the business  critical First Mile™ of information-intensive customer interactions. The  company combines market leading capture, process management, analytics, and  mobile capabilities that enable organizations to increase their responsiveness  to customers, provide better service, gain a competitive advantage, and better  grow their businesses while reducing operating costs.                    <p><strong>How they describe their product/innovation:</strong> Kofax<span class=""super"">®</span> is  demonstrating how its new Mobile Capture Platform can help customers automate  the process of checking balances on their retail gift cards. The demonstration shows  how retailers can enable virtually any smartphone or tablet to hover over a  card, detect it, automatically identify the vendor, and immediately display the  available balance. The solution makes gaining access to gift card information  more convenient for gift card issuers. It also gives vendors a cost effective  tool that helps them deliver better service and faster transactions to increase  customer satisfaction.</p>",http://www.finovate.com/spring14vid/kofax.html,http://www.finovate.com/spring14vid/logos/Kofax.jpg
Quisk,2014,Spring,"Steve Novak (CEO & Chairman), Jorge Fernandes (CSO & Co-Founder), Praveen Amancherla (CTO), Dan Glessner (CMO), Bill Baustien (SVP US Sales)","Steve Novak (CEO & Chairman), Jorge Fernandes (CSO & Co-Founder), Robert Ford (Director & former CTO and EVP, CyberSource, (acquired by Visa)), Dave Barram (Director & former CFO, Apple), Jeff Samberg (Managing Director, Acadia Woods Partners)","Stanton Koppel (Attorney, Paul Hastings & former in-house counsel, Visa (28 years))","Jeff Samberg (Managing Director, Acadia Woods Partners)","Advanced Integrated Systems, Equinox Payments",Abu Dhabi Commercial Bank,"<strong>Website: </strong><a href=""http://quisk.co"" target=""_blank"">quisk.co</a><br>
                      <br>
                               <strong> HQ: </strong>Sunnyvale,  CA <br>
                               <strong>Founded: </strong>June 2007<br>
                               <strong>Product Demoed: </strong>Quisk  digitized cash solutions<br>
                               <strong>Product Launch: </strong>January 2012<br>
                               <strong>Metrics: </strong>Quisk is a pre-revenue startup with  approximately 30 employees.<br>
                  <strong>Presenters: </strong>Praveen Amancherla (CTO),
                  Dan Glessner (CMO)","                    <strong>How they describe themselves: </strong>Quisk  is a global technology company that partners with financial institutions and  others to digitize cash and provide safe, simple and secure financial services  and cashless transactions for anyone with a mobile phone number. Quisk is the  quick and easy way for everyone to use money.                    <p>Deploying  patent-pending, cloud-based technology, the Quisk platform not only works with  any mobile phone number on any type of mobile phone, but also leverages  existing Point-of-Sale (POS) infrastructure. Quisk headquarters are in Silicon  Valley with additional offices in Louisville, KY and Dubai, U.A.E. Learn more  at <a href=""http://quisk.co"" target=""_blank"">quisk.co</a>.</p>                    <p><strong>How they describe their product/innovation:</strong> Quisk is  the first company to be sanctioned by a central bank for an all-digital bank  account with complete and secure banking functionality. Quisk is demonstrating  various use cases from its cloud-based digital services and  transaction-processing platform. The patent-pending Quisk technology utilizes  the consumer’s mobile phone number and secured PIN to create and access a new type  of payment account, domiciled at a bank or other financial institution. Quisk  enables special transaction processing and balance limits to facilitate  compliance with Know Your Customer (KYC) and state-of-the-art risk management.</p>",http://www.finovate.com/spring14vid/quisk.html,http://www.finovate.com/spring14vid/logos/Quisk.jpg
Loop,2014,Spring,"William Graylin (CEO), George Wallner (CTO)","William Graylin (CEO), George Wallner (CTO)",,Private Investors,,,"<strong>Website: </strong><a href=""http://looppay.com"" target=""_blank"">looppay.com  </a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@looppay"" target=""_blank"">@looppay</a><br>
                      <br>
                               <strong> HQ: </strong>Burlington,  MA <br>
                               <strong>Founded: </strong>August 2013<br>
                               <strong>Product Demoed: </strong>Loop, LoopWallet  and various Loop AppCessories, Magnetic Secure<strong> </strong>Transmission (MST)<br>
                               <strong>Product Launch: </strong>Kickstarter  (October 8, 2013), Kickstarter shipments (January 23, 2014), general  availability (February 19, 2014)<br>
                               <strong>Metrics: </strong>$12M in Round A, 36 employees, pre-revenue<br>
                  <strong>Presenters: </strong>Will Graylin (CEO)","                    <strong>How they describe themselves: </strong>Loop  invented the world’s first mobile wallet solution that allows consumers to  securely store and organize all of their plastic cards (payment, gift, loyalty,  ID &amp; membership cards) and pay with Loop enabled devices (smart  accessories, smartphones &amp; smart watches) virtually everywhere. Based in  Boston, MA, Loop’s patented Magnetic Secure Transmission technology turns  existing mag stripe readers into mobile payment readers without any changes by  the merchants or their payment processors. Loop provides not only breakthrough  convenience to pay with mobile, but also the highest level of payment security  to protect consumer’s card data. Loop is a Level One PCI Certified Payment  Provider.                    <p><strong>How they describe their product/innovation:</strong> Today,  consumers’ wallets are stuffed with payment, gift, loyalty, membership, IDs,  insurance cards and more. The LoopWallet app allows consumers to securely scan,  store and organize all their cards and use them to pay with their Loop-enabled  smartphone or smart accessories nearly everywhere credit cards are accepted.</p>                    <p>Loop  is demoing its LoopWallet app for iOS and Android smartphones and various  AppCessories. By replicating the app set-up and retail transaction, the  demonstration shows how Loop helps consumers minimize the amount of plastic  they carry with them and how the LoopWallet app helps them organize their  wallet quickly, securely and conveniently.</p>",http://www.finovate.com/spring14vid/looppay.html,http://www.finovate.com/spring14vid/logos/Loop.jpg
Stockpile,2014,Spring,"Avi Lele (CEO, Stockpile), Dan Schatt (Chief Commercial Offier, Stockpile), Michael Feser (President, Stockpile Investments)",,,,,,"<strong>Website: </strong><a href=""http://stockpile.com"" target=""_blank"">stockpile.com</a><br>
                      <br>
                               <strong> HQ: </strong>Palo  Alto, CA <br>
                               <strong>Founded: </strong>December 2010<br>
                               <strong>Product Demoed: </strong>Stockpile  Gift Cards<br>
                               <strong>Product Launch: </strong>June 2014<br>
                      <strong>Metrics: </strong>$2.8M, 11 employees<br>
                  <strong>Presenters: </strong>Avi Lele (CEO),
                  Dan Schatt (Chief Commercial Officer)","                    <strong>How they describe themselves: </strong>Millions  of people spend $100 to buy an iPod but have never had a shot at owning $100 of  Apple stock. We make stock ownership easy, affordable, and fun so anyone can  collect their favorite brands and build wealth for their future. Stockpile is  tapping into that “pride of ownership” gene we all have and changing the face  of stock ownership forever.                    <p><strong>How they describe their product/innovation:</strong> For the  first time ever, people are able to give a Gift Card of Stock for birthdays,  graduations, Bar Mitzvahs, Christmas, and other occasions. Pick a company and  dollar amount (say $50 of Apple) and pay with your credit card. The recipient  gets their stock by entering a claim code and either logging into their  Stockpile account or signing up for one.</p>",http://www.finovate.com/spring14vid/stockpile.html,http://www.finovate.com/spring14vid/logos/Stockpile.jpg
OnBudget,2014,Spring,"Jim Collas (CEO & President), Jeffery Hall (COO), Jonathan Shultz (CFO)",,,,,Banked consumers,"<strong>Website: </strong><a href=""http://onbudget.com"" target=""_blank"">onbudget.com</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@On_Budget"" target=""_blank"">@On_Budget</a><br>
                      <br>
                               <strong> HQ: </strong>San Diego, CA<br>
                               <strong>Founded: </strong>2012<br>
                               <strong>Product Demoed: </strong>OnBudget  Budgeting Solution<br>
                      <strong>Product Launch: </strong>November 2013<br>
                  <strong>Presenters: </strong>Jim Collas (CEO &amp; President),
                  Mike Corrales (VP Marketing)","                    <strong>How they describe themselves: </strong>Consumers  are clamoring for better budgeting solutions. Just look at the 59% of prepaid  cards used by banked consumers “to help them budget and control spending” – the  number one reason they use prepaid cards.                    <p>OnBudget  strongly monetizes the budgeting process, creating a uniquely profitable  prepaid product for OnBudget and banking partners who license the OnBudget  platform. Completely fee-free to users, OnBudget works as a companion to their  bank accounts. Setup is effortless, spending is tracked in real time, instant  transfers ensure a seamless experience, and the extremely simple and deeply  insightful UI encourages habit-forming, long-term use. Plus, OnBudget helps  partnering financial institutions recover critical, lost post-Durbin revenues.</p>                    <p><strong>How they describe their product/innovation:</strong> OnBudget  combines a free, simple-to-use app with a free (&amp; totally fee-free)  household Budget Card that links to a user’s checking or savings account. Users  effortlessly set up and manage budgets, track spending and view spending trends  in real time by category. The OnBudget solution eliminates tedious data entry,  inaccurate categorization and transaction reporting delays associated with  other budgeting and personal financial management solutions. The OnBudget  platform analyzes transactions, identifies trends and interacts with users in  real time, becoming an instant virtual “envelope budgeting system” that helps  banked consumers manage daily living expenses. It’s uncomplicated, intuitive,  real time, habit-forming and, best of all, totally free.</p>",http://www.finovate.com/spring14vid/onbudget.html,http://www.finovate.com/spring14vid/logos/OnBudget.jpg
Pixeliris,2014,Spring,Emmanuel Ruiz (CEO & Head of Innovation),"Angela Encarnacion (President), Emmanuel Ruiz (CEO & Head of Innovation), Christian Ruiz (Marketing Director)",,,,,"<strong>Website: </strong><a href=""http://copsonic.com"" target=""_blank"">copsonic.com</a><br>
                  <strong>Blog:</strong> <a href=""http://blog.pixeliris.com"" target=""_blank"">blog.pixeliris.com</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/@_Pixeliris"" target=""_blank"">@_Pixeliris</a><br>
                      <br>
                               <strong> HQ: </strong>Montauban 82000,  France<br>
                               <strong>Founded:</strong> April 1989<br>
                               <strong>Product Demoed:</strong> CopSonic<br>
                               <strong>Product Launch:</strong> September 2013<br>
                      <strong>Metrics:</strong> €210,000 in capital, 11 employees in France, 120 engineers around the  world<br>
                  <strong>Presenters: </strong>Emmanuel Ruiz (CEO &amp; Head of Innovation),
                  Brian Roeten (Senior Project Manager)","                    <strong>How they describe themselves: </strong>Pixeliris is a  company with services in the area of technology marketing. The company started  15 years ago proposing audio software and has been expanding ever since with  services and research in the area of digital development.<br>                        <br>                      Pixeliris Labs is Pixeliris' R&amp;D laboratory that has been working over the  past five years on different high-tech technologies including contactless  communication protocols between smart devices. This research has resulted in  several patents in the area of sonic and ultrasonic communication between smart  devices.                      <p><strong>How they describe their product/innovation:</strong> CopSonic is the first  universal contactless mobile payment system powered by our unique technology.  It is based on sonic communication transiting through the devices’ speakers and  microphones. Therefore, our technology is compatible with 100% of existing  phones and smartphones, unlike NFC technologies. Several patents have been  filed with regard to the security of the transaction.<br>                        <br>                      Our technology allows peer-to-peer transactions between feature phones and  smartphones but also enables online passwordless authentication turning the  devices into security dongles.<br>  <br>                      We developed an SDK that allows third-party companies to integrate the modules  and, therefore, create a business model based on transaction fees or licenses.</p>",http://www.finovate.com/spring14vid/pixeliris.html,http://www.finovate.com/spring14vid/logos/Pixeliris.jpg
