Video Show,Show year,Location,Key Execs,Key Board Members,Key Advisory Board Members,Key Investors,Key Partnerships,Key Customers,Company Details,Company Profile,Product Distribution Strategy,Contacts,Url,Logo,Logo URL,Embed Code,Thumbnail
PayNearMe,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://paynearme.com"" target=""_blank"">paynearme.com</a><br>
                  <strong>Blog: </strong><a href=""http://blog.paynearme.com"" target=""_blank"">blog.paynearme.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/PayNearMe"" target=""_blank"">@PayNearMe</a><strong><br>
                  Presenter:</strong> John Minor (VP, Product &amp; Marketing)</p>
                ","                    PayNearMe enables consumers to pay rent, repay loans, buy tickets,  make online purchases, and do much more with cash. Consumers can make cash  payments in their own neighborhood in less than 60 seconds through PayNearMe’s  network of 17,000 authorized payment locations including 7-Eleven<span class=""super"">®</span>,  Family Dollar<span class=""super"">®</span>, and ACE Cash Express<span class=""super"">®</span> stores.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>Bringing Cash Payments into the 21st Century</strong><br>                      PayNearMe  secrets unveiled. Why do we even bother with innovating cash? How we developed  a system to digitize cash? And how modern development techniques laid the  foundation for PayNearMe to become the fastest growing electronic cash  transaction network?</p>                    <p><span class=""title2"">Workshop</span></p>                    <p><strong>Strong But Agile: Innovation When Money is On  the Line</strong><br>                      Innovation  in fintech happens faster than ever. When working with other people’s money,  there is no room for error. How do you build teams and systems that are  flexible for agile product development and rigid for security and reliability?  What’s the relevance of historical payment systems? And what about Bitcoin?                    </p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/paynearme.html,http://finovate.com/findevrsf14vid/logos/PayNearMe.jpg,http://paynearme.com/,//fast.wistia.net/embed/iframe/7xjwgaer3p,http://embed.wistia.com/deliveries/79d188c0429d5e1e18105fbee93ed09649a7e67c.jpg
Financial Apps,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://financialapps.com"" target=""_blank"">financialapps.com</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/financial_apps"" target=""_blank"">@financial_apps</a><strong><br>
                  Presenters: </strong>Bob Sullivan (President), Bill  Kennedy (Chief Scientist)</p>
                ","                    Financial Apps provides a suite of developer tools and  API access for financial account and transactional data. Our solutions help to  quickly build the next generation FinApp. The Financial Apps Relevancy Engine  helps make data actionable, providing a comprehensive solution for Fintech  development.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>Driving the Data to Action</strong><br>Detailed financial data is the ""Big Data"" we all want to  work with. In  this presentation, Financial Apps shows how its Platform and  Relevancy Engine enables developers to access, consume and integrate consumer  financial data within their solutions.</p>                    <p><span class=""title2"">Workshop</span></p>                    <p><strong>Get Relevant: Driving Data to Action</strong><br>The Financial Apps Platform simplifies the way developers build,  manage, and scale their applications’ transaction driven components.  ​In  this workshop, we demystify the process of transforming financial data  into relevant solutions that can directly consumed by your applications. Learn  how to:</p>                    <ul type=""disc"">                      <li>Connect to financial data using Financial       Apps’ easy to use RESTful based JSON API and developer libraries</li>                      <li>Construct complex data aggregations in       minutes using Boolean logic with the FA Relevancy Engine Interface</li>                      <li>Executed and deliver new datasets at run       time speed and make schema changes without system interruptions</li>                      <li>Create  queries and rules that analyze your data and deliver actionable results and  alerts </li>                    </ul>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/financialapps.html,http://finovate.com/findevrsf14vid/logos/FinancialApps.jpg,http://financialapps.com/,//fast.wistia.net/embed/iframe/2bckbxykb5,http://embed.wistia.com/deliveries/614ce53c49e31e1344f11c7984d17f5ad3f4126e.jpg
Xignite,2014,San Francisco,,,,", fuel your growth, and power your success with our easy-to-integrate financial data APIs.",,", reference, and historical market data. Novices and experts are welcome; Xignite experts will be on hand to answer any questions and explain basic concepts (i.e. how to call a REST API) and share best practices (i.e. using our open-source SDKs).","<p><strong>Website: </strong><a href=""http://xignite.com"" target=""_blank"">xignite.com</a><br>
                  <strong>Blog: </strong><a href=""http://xignite.com/market-data/blog"" target=""_blank"">xignite.com/market-data/blog</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/xignite"" target=""_blank"">@xignite</a><strong><br>
                  Presenters:</strong> Stephane DuBois (CEO &amp; Founder), Anand  Viswanathan (Software Engineer)</p>                
                ","                    Xignite is the pioneer of cloud-based market data APIs &amp; the data  provider for leading FinTech innovators Betterment, FutureAdvisor, JemStep,  Motif Investing, Personal Capital, Robinhood, SigFig, Stocktwits, The Currency  Cloud, Wealthfront, Yodlee and more. From  end-of-day stock quotes to spot rates on currencies, our APIs  cover every asset class, market and data type available and are ideal for  integrating data into FinTech mobile apps, websites, and platforms.                     <p><span class=""title2"">Presentation</span></p>                    <p><strong>Kick-Start Your FinTech Business with Xignite  Market Data APIs</strong><br>                      Xignite powers hundreds of breakthrough FinTech apps and platforms – touching  millions of investors &amp; finance professionals each day. Learn how Xignite  can help you kick-start your FinTech business, fuel your growth, and power your  success with our easy-to-integrate financial data APIs.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/xignite.html,http://finovate.com/findevrsf14vid/logos/Xignite.jpg,http://xignite.com/,//fast.wistia.net/embed/iframe/3fzx7v17mg,http://embed.wistia.com/deliveries/94270c29e323ecf970bf819b2b7a022f1b0874db.jpg
Trulioo,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://trulioo.com"" target=""_blank"">trulioo.com</a><strong><br>
Blog: </strong><a href=""http://trulioo.com/blog"" target=""_blank"">trulioo.com/blog</a><strong><br>
Twitter: </strong><a href=""http://twitter.com/trulioo"" target=""_blank"">@trulioo</a><strong><br>
Presenter:</strong> Anatoly Kvitnitsky (Dir., Corporate Development)</p>
                ","                    Trulioo is a global ID  verification company focused on building trust online, best privacy practices,  and financial inclusion. As the pioneer in cyber identity verification,  Trulioo's new Global Gateway product enables businesses to perform instant ID  Verification for 3 billion people in over 30 countries.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>Trulioo’s Global Gateway</strong><br>Demonstrating how Trulioo’s  Global Gateway verifies a consumer’s identity within a single, unique portal.  We've input a person’s first name, last name, date of birth and address to  show how Trulioo verifies these attributes from our 130+ data sources.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/trulioo.html,http://finovate.com/findevrsf14vid/logos/Trulioo.jpg,http://trulioo.com/,//fast.wistia.net/embed/iframe/7cqsfcbzv5,http://embed.wistia.com/deliveries/41d1f9c729f3627cdaca17ca9bbd577f0a1fe71a.jpg
CopSonic,2014,San Francisco,,,,,,", financial and cybersecurity industries to propose a universal and secure solution for strong authentication to all of their customers worldwide. This authentication solution is an alternative to the use of online and/or offline passwords.","<p><strong>Website: </strong><a href=""http://copsonic.com"" target=""_blank"">copsonic.com</a><br>
                  <strong>Blog: </strong><a href=""http://blog.copsonic.com"" target=""_blank"">blog.copsonic.com</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/CopSonic"" target=""_blank"">@CopSonic</a><strong><br>
                  Presenters:</strong> Emmanuel Ruiz (CEO &amp; Head of Innovation), Brian  Roeten (Chief Business Operator)</p>                
                ","                    CopSonic is a French company founded in 2013 specialized in the  development and marketing of its sonic and ultrasonic authentication  technology. The company is composed out of a strong team of researchers and  engineers specialized in security, payment, sonic and ultrasonic authentication  protocols. Recently, CopSonic joined the Microsoft Partner Network and became a  member of the FIDO Alliance organization.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>Sonic and Ultrasonic Authentication Solution Working  on All Mobile Phones</strong><br>The CopSonic SDK allows contactless multi-factor authentication based on  ultrasounds or sounds. This SDK is the first to introduce an “airgap” with  encrypted analog information into the digital circuit. The security level thus  achieved by CopSonic reaches current military security levels.<br><br>CopSonic is a universal solution working on all feature phones, smart  phones, smart watches, tablets, computers, smart devices, internet of things,  etc. as long as they are equipped with speakers and/or a microphone. It is  operational on all standard GSM networks, on the internet or any other TCP-IP  compatible network. The solution requires no change of Telco or of the existing  hardware.</p>                    <p>CopSonic enables e-commerce, financial and cybersecurity industries to  propose a universal and secure solution for strong authentication to all of  their customers worldwide. This authentication solution is an alternative to  the use of online and/or offline passwords.<br>                    </p>                    PhonicAccess  and GateSonic are anti-phishing use cases of this highly secured technology.  Also, for the first time, CopSonic enables the use of smart-bracelets as a  secure access key.",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/copsonic.html,http://finovate.com/findevrsf14vid/logos/CopSonic.jpg,http://copsonic.com/,//fast.wistia.net/embed/iframe/1bvqyro1at,http://embed.wistia.com/deliveries/4fe73f1c556b0d9cabaf982d9187f5e959303304.jpg
Avoka,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://avoka.com"" target=""_blank"">avoka.com</a><br>
                  <strong>Blog: </strong><a href=""http://avoka.com/blog"" target=""_blank"">avoka.com/blog</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/avokatech"" target=""_blank"">@avokatech</a><strong><br>
                  Presenters:</strong> Derek Corcoran (Chief Experience Officer), Howard  Treisman (CTO)</p>                
                ","                  Avoka is a leading customer experience management company specializing in multi-channel customer transactions. Avoka powers customer engagement applications for banking and insurance organizations worldwide, capturing and delivering business-critical customer transactions into back-office systems.                  <p class=""title2"">Presentation                      </p>                    <p><strong>Build an Omni-Channel Account Opening</strong><br>                      Avoka  demonstrates omni-channel account opening through their engagement platform:</p>                    <ul type=""disc"">                      <li>Responsive &amp; adaptive design</li>                      <li>Cross-over between channels</li>                      <li>Pre-fill from social profiles</li>                      <li>ElectID verification</li>                      <li>Separation of information capture from       core systems to facilitate easy cross-sell</li>                      </ul>                                          <p><span class=""title2"">Workshop</span></p>                    <p><strong>Build an Omni-Channel Accounting Opening  Experience in Under 60 Minutes</strong> <br>Avoka  builds an account opening experience in under an hour that:</p>                    <ul type=""disc"">                      <li>Is responsive &amp; adaptive</li>                      <li>Supports cross-over between channels</li>                      <li>Is integrated to social media for       pre-fill</li>                      <li>Is integrated to electronic ID       verification</li>                      <li>Facilitates  cross-sell with loose coupling to core systems </li>                    </ul>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/avoka.html,http://finovate.com/findevrsf14vid/logos/Avoka.jpg,http://avoka.com/,//fast.wistia.net/embed/iframe/p7zbi64njm,http://embed.wistia.com/deliveries/4177ca9ef584f629c9aae0b46fb48b6479d0330f.jpg
BehavioSec,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://behaviosec.com"" target=""_blank"">behaviosec.com</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/BehavioSec"" target=""_blank"">@BehavioSec</a><strong><br>
                  Presenter: </strong>Neil Costigan (CEO  &amp; CTO)</p>                
                ","                    Leaders in frictionless behavioural user verification &amp; authentication. BehavioSec examines how you interact with a website or mobile device to provide a frictionless layer in web fraud prevention.                    <p class=""title2"">Presentation</p>                    <p><strong>BehavioSec Offers the Most Mature ID System that Uses Behaviour Analytics</strong><br>                      BehavioSec presents the latest in real-time security through the ability to monitor the way users interact with their device. By monitoring the environment and interactions such as typing rhythm or mouse patterns, our technology is able to recognize if someone other than the intended user is operating the device. If a security breach is detected, additional security measures can be carried out to prevent fraud and stop identity theft.</p>                    <ul><li>Robust proven technology with more than 10 million active users in 2014 <br>                        </li>                      <li>Scalable with more than 500 million mobile transactions processed<br>                        </li>                      <li>High performance with more than 20 banks using the service<br>                        </li>                      <li>Available now for cloud or onsite deployment<br>                      </li>                    </ul>                    <p><span class=""title2"">Workshop</span></p>                    <p><strong>Real-time Scoring of Behavioural Biometrics  via Web Services</strong><br>Presenting our web &amp; mobile SDK, we are diving deep into the  backend services and showing how easy it is to instrument a website or mobile  app with frictionless behavioural biometrics to add a new layer of security.</p>                    In  an interactive session we are demonstrating a number of use cases of both  real-time scoring and ‘after the fact’ biometrics forensics. We open up the  client SDK to show the APIs, file formats, etc. In parallel, we expose the  typical integration points to see the architecture and the power the backend web  service APIs offer developers to represent additional transaction security in a  way that suits your organization’s business needs.",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/behaviosec.html,http://finovate.com/findevrsf14vid/logos/BehavioSec.jpg,http://behaviosec.com/,//fast.wistia.net/embed/iframe/3my6elyx7e,http://embed.wistia.com/deliveries/8b1d5b01ebfdfc11b646eed30e033e12b1919e9e.jpg
Bluefin Payment Systems,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://bluefin.com"" target=""_blank"">bluefin.com</a><br>
                  <strong>Blog: </strong><a href=""http://bluefin.com/category/bluefin-news"" target=""_blank"">bluefin.com/category/bluefin-news</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/BluefinPayments"" target=""_blank"">@BluefinPayments</a><strong><br>
                  Presenters:</strong> Ruston Miles (Chief of Product Innovation), Tim  Barnett (Chief of Technology)</p>                
                ","                    Bluefin is a leading FinTech company focused on processing,  integrating, and securing payments. Bluefin offers P2PE, tokenization, mobile  payment SDK’s, payment gateways, merchant accounts, PCI Compliance, transparent  redirect, recurring billing, and branded online merchant account enrollment.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>Bluefin, Point-to-Point Encryption (P2PE)</strong><br>                      Bluefin is the first validated Point-to-Point Encryption (P2PE) Solution  listed by the PCI Security Standards Council, North America. P2PE can reduce  the scope of card data environment and related PCI requirements. Your software  doesn't need to be PCI Compliant if card data is encrypted using P2PE.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/bluefin.html,http://finovate.com/findevrsf14vid/logos/Bluefin.jpg,http://bluefin.com/,
ModoPayments,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://modopayments.com"" target=""_blank"">modopayments.com</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/GETmodo"" target=""_blank"">@GETmodo</a><strong><br>
                  Presenter:</strong> Bruce Parker (CEO &amp; Founder)</p>                ","                    With Modo you  can build beautiful buying experiences, with exceptional economics. Whether you  are looking for more sales, transactions, or rockstar moments for your  consumers, Modo can help. Using Modo’s handcrafted API, your mobile app gets to  perform in-store purchases at tens of thousands of store locations. Modo powers  the payments and you design the experience. Everyone is looking for something:  personal, magical, and beautiful. So why not give it to them? Your app, plus  our platform = more of what you want.                     <strong>Conversational Gifting </strong>– Feeling generous? It may just  be gas. But in case it’s not, Modo enables instant mobile gifts for friends,  family, or that cute stranger sitting across from you! Your gifts can be  redeemed in-store or online, and you can receive a notification when the gift  is used. Create conversations about a brand, merchant, event, or  EXPERIENCE. There are many ways to craft your gift (dollar  amount, single visit, specific purchase, repeat purchases). What’s unique is  the conversation that happens because Modo lets everyone interact with each  other. We also have <strong>High Definition  Offers (incl. SKU Level), Deal Stampedes, Stuff Subscriptions, Redemptive  Rewards, Actual Expenditures, Grand Entrances, and Personal Attractions</strong>. Check  out our website modopayments.com to learn about these beautiful buying experiences  and more.<p><span class=""title2"">Presentation</span></p>                    <p><strong>How to Find Money &amp; Love with Mobile Apps (OK, maybe more  money than love)</strong><br>                      Learn about the best-kept  secret in mobile payments APIs: Modo. Modo shows you in 6 min or less how  to build a beautiful buying experience that entices consumers to spend money,  and make you money, through exceptional economics. This is all with the cunning  use of the mobile app of your dreams. Your love mileage may vary.</p>                    <p><span class=""title2"">Workshop</span></p>                    <p><strong>Get Your Hands on Modo</strong> <br>Now you know  the secret of how the Modo API can help you build beautiful buying experiences  for your audience and make real money with your very own mobile app that has  exceptional economics. So, let’s do this thing. Watch as we roll up our sleeves and build an app they will fall in love with.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/modo.html,http://finovate.com/findevrsf14vid/logos/Modo.jpg,http://modopayments.com/,//fast.wistia.net/embed/iframe/ofgetdeev1,http://embed.wistia.com/deliveries/943b928fb36fae66d041f72e4c4c8f46e9dae909.jpg
CardFlight,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://getcardflight.com"" target=""_blank"">getcardflight.com</a><br>
                  <strong>Blog: </strong><a href=""http://getcardflight.com/blog"" target=""_blank"">getcardflight.com/blog</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/CardFlight"" target=""_blank"">@CardFlight</a><strong><br>
                  Presenters:</strong> Elie Toubiana (VP, Engineering), Derek  Webster (CEO)</p>                
                ","                    CardFlight is a leading provider of mobile POS technology and tools  that make it easy for anyone to accept swiped (card present) payments in any  mobile app with virtually any merchant account. They offer both iOS/Android mobile payment  applications and software development kits (SDKs) that can be incorporated into  custom applications. CardFlight's platform also includes encrypted card readers  and a payment gateway that supports over 20 different processors, to provide  clients with complete mobile payments and mobile POS (mPOS) solutions.  CardFlight won the Electronic Transactions Association’s 2014 Technology  Innovation Award.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>CardFlight SDK for Mobile Payments</strong><br>The CardFlight SDK allows any mobile developer to build mobile  point-of-sale functionality into his or her own mobile apps. CardFlight  supplies three things:</p>                    <ol start=""1"" type=""1"">                      <li>Encrypted mobile card readers that fit       into the audio jack of any smartphone or tablet</li>                      <li>Easy-to-integrate software development       kits for iOS and Android, complete with developer-friendly documentation       and support</li>                      <li>A PCI Level 1 compliant payment gateway       that works with all major processors/merchant accounts</li>                    </ol>                    <p>This allows developers to easily process swiped credit card payments within  their own apps without the complexity of typical payment integrations. By using  the CardFlight SDK, developers can fully customize their user experience and  keep control of their product, while being able to integrate payment data into  their other back-end systems (CRM, inventory management, analytics and  reporting, etc.).</p>                    The  CardFlight SDK and gateway is compatible with merchant accounts from leading  processors, including Braintree, Chase Paymentech, Global Payments, First Data,  Stripe, TSYS and Vantiv.",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/cardflight.html,http://finovate.com/findevrsf14vid/logos/Cardflight.jpg,http://getcardflight.com/,//fast.wistia.net/embed/iframe/vtzk5dic62,http://embed.wistia.com/deliveries/4ef795dbb6655d873d246b8d6957f47b6b848f40.jpg
Paradigm4,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://paradigm4.com"" target=""_blank"">paradigm4.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/paradigm4"" target=""_blank"">@paradigm4</a><strong><br>
                  Presenter:</strong> Bryan Lewis (Chief Data Scientist)</p>
                ","                    Paradigm4 develops and supports SciDB:  the open source, analytic DBMS; programmable from R &amp; Python. SciDB is  designed from the ground up to support more facile data management for Big and  Diverse data and to do faster and bigger math. Hard questions. Fast answers.  Open source.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>Crypto-Currency  and Massive Network Analysis</strong><br>We begin with a  graphical overview of a crypto-currency financial network, discuss the key  issues and challenges around massive network analysis and then demonstrate our  solution using SciDB via the RStudio user interface.</p>",,"<span class=""title2"">Presenter Contact &amp; Bio</span>",http://finovate.com/findevrsf14vid/paradigm4.html,http://finovate.com/findevrsf14vid/logos/Paradigm4.jpg,http://paradigm4.com/,//fast.wistia.net/embed/iframe/77lckylfzl,http://embed.wistia.com/deliveries/edbf64f2473d672602823ae3ed603791500ab98f.jpg
InComm/Cashtie,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://incomm.com"" target=""_blank"">incomm.com</a> | <a href=""http://cashtie.com%20%20"" target=""_blank"">cashtie.com  </a><br>
                  <strong>Blog: </strong><a href=""http://blog.cashtie.com"" target=""_blank"">blog.cashtie.com</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/incomm"" target=""_blank"">@incomm</a>  |  <a href=""http://twitter.com/cashtieapi"" target=""_blank"">@cashtieapi</a><strong><br>
                  Presenter: </strong>Thomas Cornelius (SVP)</p>
                ","                    InComm is the leading  provider of prepaid and transaction technologies with 400,000 points of  distribution, nearly $30 billion annual transaction volume and reaching over 1  billion customers weekly.                      <p><span class=""title2"">Presentation</span></p>                    <p><strong>Cashtie  API – Rails for Cash Payments</strong><br>Cashtie is an API that  enables cash payments for bill pay, funding an account and money transfer at  InComm's retail network. The Cashtie API connects to a transaction-processing  platform and is the rails for cash payments from its partners.</p>                    <p><span class=""title2"">Workshop</span></p>                    <p><strong>Cashtie  API – Democratizing Access to Retail POS</strong><br>In this workshop, we showcase how we democratized access to the POS (Point of Sales) of some of  the largest retailers in the world like Walmart, CVS, Rite Aid, Target, Family  Dollar and many more. We demonstrate  how to insert transactions as line  items into the customer receipt including validating pre-tender transactions  and completing post tender.<br><br>We also present various use cases of how the Cashtie API is used to  digitize cash payments and touching on our different integration methods for  developers.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/incomm.html,http://finovate.com/findevrsf14vid/logos/InComm.jpg,http://incomm.com/,
Xero,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://xero.com"" target=""_blank"">xero.com</a><br>
                  <strong>Blog: </strong><a href=""http://xero.com/blog"" target=""_blank"">xero.com/blog</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/Xero"" target=""_blank"">@Xero</a><strong><br>
                  Presenter:</strong> David Pollock (Head of US Partnerships)</p>
                ","                    Xero  is a beautiful, easy-to-use online accounting software for small businesses and  their advisors. The company has over 300,000 paying customers in more than 100  countries around the world. Xero ranks No. 1 by Forbes as the World's Most  Innovative Growth Company.                     <p><span class=""title2"">Presentation</span></p>                    <p><strong>Building an API-Driven Ecosystem for Small Business</strong><br>Small  business is at the heart of every economy. Simple efficiency gains, like  eliminating data entry or getting paid twice as fast, can make or break a  business. At Xero we've created an open, extensible platform upon which  hundreds of developers have created tools and joined our mission to make small  businesses all over the world succeed.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/xero.html,http://finovate.com/findevrsf14vid/logos/xero.jpg,http://xero.com/,//fast.wistia.net/embed/iframe/xi0mex6wsw,http://embed.wistia.com/deliveries/b4f9cb8f8b71ff42604c00762350949c843d87d3.jpg
Mifos Initiative,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://mifos.org"" target=""_blank"">mifos.org</a><br>
                  <strong>Blog: </strong><a href=""http://mifos.org/blog"" target=""_blank"">mifos.org/blog</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/Mifos"" target=""_blank"">@Mifos</a><strong><br>
                  Presenter:</strong> James Dailey (Chief Innovation Officer)</p>
                ","                    The Mifos Initiative is a  501(c)3 non-profit that guides the development of the Mifos X solution for  financial inclusion, an API-driven open source platform with a suite of  configurable cloud apps. Our community speeds the elimination of poverty by  scaling financial services to the 2.5 Billion unbanked.                    <p>Our  platform is game-changing because we are mobilizing a global community, which  is the only way to confront the massive problem we face. Our open source  license and community driven approach is unlocking new collaboration and  enabling new business models that will allow the financial inclusion sector to  scale upward and outward. It enables small institutions to mature and large  institutions to reach down cost-effectively in a manner that never could be  possible before.</p><p><span class=""title2"">Presentation</span></p>                    <p><strong>Mifos X, Open Technology Platform Unlocking  New Opportunities at the Base of the Pyramid</strong><br>There is a massive  opportunity to serve the 2.5B individuals who lack access to financial  services. Discover how you can build and scale mobile and cloud-based solutions  on top of the open Mifos X platform for financial inclusion, which is led by a  global community &amp; backed by Silicon Valley.</p>                    <p>Mifos X is the world’s only  open source technology platform for financial inclusion. Built around an  API-centric, cloud-based software architecture, the Mifos X Platform is a  modern, connected core banking system for responsible financial services  organizations bringing basic financial services to the poor globally.</p>                    <p>Our innovative solution  consists of a full suite of open technologies to scale the reach of financial  inclusion to the 2.5B unbanked, encompassing an open source platform released  under the Mozilla Public License 2.0, completely exposed through a full set of  open APIs as well as a suite of cloud products and mobile apps on top of the  platform. Whether you are an innovator looking to build a brand new fintech  solution, an integrator looking to integrate or scale an existing product, a  reseller looking to extend, implement, support, or host a feature-rich core  banking system, or a financial institution looking for a solution out of the  box, Mifos X has it covered.</p>                    Mifos  X consists of 1) the platform (A RESTful back-end which talks to a MySQL  database and is built on the Jersey/Spring/JPA stack) 2) the community app  (AngularJS app that provides support for the most commonly used financial  inclusion models) and 3) RESTful APIs from our platform accessing all the core  underlying functionality to enable the community to quickly build their own  enterprise grade financial inclusion products/apps on any technology stack.                    <p><span class=""title2"">Workshop</span></p>                    <p><strong>Building Apps for Financial Inclusion on the  Mifos X Platform</strong><br>In  this hands-on session, learn how to quickly build enterprise-grade financial inclusion  solutions on top of Mifos X, an open-source cloud-based Java platform providing  the common core banking functionality though a full set of RESTful APIs, an  AngularJS web app and an Android client. </p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/mifos.html,http://finovate.com/findevrsf14vid/logos/Mifos.jpg,http://mifos.org/,//fast.wistia.net/embed/iframe/d9dcathcrg,http://embed.wistia.com/deliveries/48847b0f978c7288bf68f7adf1bc3175129c96f0.jpg
Blockchain,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://blockchain.com"" target=""_blank"">blockchain.com</a><br>
                  <strong>Blog: </strong><a href=""http://blog.blockchain.com"" target=""_blank"">blog.blockchain.com</a><strong><br>
                  Twitter: </strong><a href=""http://twitter.com/blockchain"" target=""_blank"">@blockchain</a><strong><br>
                  Presenter:</strong> Tim Lee (Software Developer)</p>
                ","                    Blockchain is the world's most popular web-based  Bitcoin wallet and the most highly trafficked Bitcoin website. Blockchain is  the de facto search engine for the Bitcoin economy. Blockchain has over 2  million wallets and our footprint continues to grow quickly.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>Blockchain:  The Core API for Bitcoin Development</strong><br>Blockchain's APIs power  most of the Bitcoin companies in the ecosystem. Utilizing our APIs, you can  start a Bitcoin business in minutes. From wallet creation to transaction  verification, Blockchain's APIs have you covered.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/blockchain.html,http://finovate.com/findevrsf14vid/logos/blockchain.jpg,http://blockchain.com/,//fast.wistia.net/embed/iframe/bcie4solun,http://embed.wistia.com/deliveries/092dcd837b0e773d45368e8bc17945eea0f9169f.jpg
SimplyTapp,2014,San Francisco,,,,,,,"<p><strong>Website: </strong><a href=""http://simplytapp.com"" target=""_blank"">simplytapp.com</a><strong><br>
                    Blog: </strong><a href=""http://blog.simplytapp.com"" target=""_blank"">blog.simplytapp.com</a><strong><br>
                    Twitter: </strong><a href=""http://twitter.com/SimplyTappNews"" target=""_blank"">@SimplyTappNews</a><strong><br>
                    Presenter:</strong> Doug Yeager (CEO &amp; Co-Founder)</p>
                ","                    HCE (host card emulation) experts and  providers.                    <p><span class=""title2"">Presentation</span></p>                    <p><strong>Host Card Emulation</strong><br>Overview of SimplyTapp's HCE solution and offering.</p>",,"<span class=""title2"">Presenter Contact</span>",http://finovate.com/findevrsf14vid/simplytapp.html,http://finovate.com/findevrsf14vid/logos/simplytapp.jpg,http://simplytapp.com/,//fast.wistia.net/embed/iframe/4gzlrucovy,http://embed.wistia.com/deliveries/51f307294be1e591966d9b4eca975633d46e6370.jpg
