Video Show,Show year,Location,Key Execs,Key Board Members,Key Advisory Board Members,Key Investors,Key Partnerships,Key Customers,Company Details,Company Profile,Url,Logo,Embed Code
The Currency Cloud,2014,Europe,"Michael Laven (CEO), Richard Bastin (CTO), David Mason (CFO), Todd Latham (VP Marketing)","Fred Destin (Partner, Atlas), Sean Park (Co-Founder, Anthemis), Jos White (Partner, Notion Capital)",,,"Several leading innovators in their field have successfully adopted The Currency Cloud’s open API, including Azimo, Transferwise and Payoneer. In addition, it has been integrated as a third party app with leading enterprise software providers such as Salesforce, Sage, and Microsoft Dynamics.","Azimo, Kantox, Transferwise, Sofort Bank, Fidor Bank","<strong>Website: </strong><a target=""_blank"" href=""http://thecurrencycloud.com"">thecurrencycloud.com</a><br>
                  <strong>Blog:</strong> <a href=""http://thecurrencycloud.com/blog"" target=""_blank"">thecurrencycloud.com/blog</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/Currency_Cloud"" target=""_blank"">@Currency_Cloud</a><strong> HQ: </strong>London, England<br>
                  <strong>Founded: </strong>January 2012<br>
                  <strong>Product Demoed: </strong>New e-wallet functionality and user interface<br>
                  <strong>Product  Launch:</strong> April 2014<br>
                  <strong>Metrics:</strong><br>
• Current number of employees: 42<br>
• Money raised: $8M as of December 2013 - next  round imminent.<br>
• Financial Data: transaction run rate is  approximately $4B per calendar month and is projected to double every five to  six months. Revenue run rate is currently $4.4M.<br>
• Customer Traction: we have on-boarded over 50 new direct clients with over  1,000 indirect customers since January 2013.<br>
                <strong>Presenters: </strong>Michael Laven (CEO), Richard Bastin (CTO)","                      <strong>How they describe themselves: </strong>We believe global businesses deserve better so  we have fully automated the payment lifecycle, from receipt of funds through conversion  and payment, via a single, innovative platform. It is this solution that we  believe is transforming the international payment landscape.</p>                    <p><strong>How they describe their product/innovation:</strong> This release will provide our clients access to an easy-to-use web  console. Cross-border transactions tend to be expensive and inefficient (i.e.,  error prone) as the majority are executed through some type of manual process.  While a variety of alternative international payment providers claim to offer  relief, their services have limitations that often leave companies encountering  the same issues of high costs, inadequate automation and deceptive pricing. We  think global businesses deserve better, and have developed an entirely new  model for international payments.</p>",http://www.finovate.com/europe14vid/thecurrencycloud.html,http://www.finovate.com/europe14vid/logos/Currencycloud.jpg,//fast.wistia.net/embed/iframe/mjxarfe6ne
Encap Security,2014,Europe,"Thomas Bostrøm Jørgensen (CEO), Adam Dolby (VP Bus. Dev.)","Dag Fjørtoft (Chairman, Encap), Arne Tonning (Board Member, Partner Alliance Venture), Herbjørn Skjervold (Managing Partner, ProVenture)",,"ProVenture Seed, Alliance Venture Polaris, employees and other active key resources, founder and other former employees",,"Evry, Mtrust, EnterCard, Signicat, Sparebanken Vest, Santander Norway","<strong>Website: </strong><a target=""_blank"" href=""http://encapsecurity.com"">encapsecurity.com</a><strong><br>
                Twitter:</strong> <a href=""http://twitter.com/encapsecurity"" target=""_blank"">@encapsecurity</a><br>
                      <br>
                               <strong> HQ:</strong>Oslo,  Norway<br>
                               <strong>Founded: </strong>2007<br>
                               <strong>Product Demoed: </strong>Encap<br>
                               <strong>Product  Launch: </strong>November 1, 2012<br>
                               <strong>Metrics: </strong><br>
                               People -<br>
Based in Oslo and Palo Alto, Encap Security’s management team  has more than 60 years’ experience and an unrivalled pedigree in authentication,  identity management, mobile app security and mobile financial services. <br>
Finance -<br>
Following a recent funding round, the total investment in Encap Security’s  stands at €4.8M. <br>
Market Traction -<br>
Encap Security’s solution is used by major financial  institutions, enterprises and technology integrators including Santander  Consumer Bank Norway, EnterCard and Sparebanken Vest.  Encap Security’s technology is approved by the Norwegian Banks’  Standardisation Office and security experts Room66.<br>
              <strong>Presenters: </strong>Thomas Bostrøm Jørgensen (CEO), Adam Dolby (VP Bus. Dev.)","                    <strong>How they describe themselves: </strong>Encap  Security is the only dedicated software-based banking-grade authentication  platform provider, offering simple multi-factor authentication and digital  signing for the banking and enterprise sectors. Encap Security turns any  personal device into a security credential removing the need for cumbersome and  costly SMS codes and hardware. Encap Security makes  authentication simple and enabling innovation, reducing risk and driving  service adoption for organisations.                     <p><strong>How they  describe their product/innovation:</strong> Smarter Authentication is the  world’s only software-based, banking-grade authentication technology that  doesn’t compromise between security, user experience and utility.</p>",http://www.finovate.com/europe14vid/encapsecurity.html,http://www.finovate.com/europe14vid/logos/Encap.jpg,//fast.wistia.net/embed/iframe/5d95hfib9m
Xpenditure,2014,Europe,"Boris Bogaert (CEO & Co-Founder), Wim Derkinderen (CCO & Co-Founder)","Toon Coppens (CTO & Co-Founder, Massive Media – Twoo.com), Lorenz Bogaert (CEO & Co-Founder, Massive Media – Twoo.com), Jonas Dhaenens (CEO & Founder, Combell & Unitt)",,"FI: Belfius Bank: 3rd biggest bank in BE & launched Xpenditure in March 2013; as from June 2014, we’ll have a direct link with all transactions from Belfius Bank corporate & business payment cards; Creacard: integration with PCS corporate prepaid card mainly for the French market; miiCard: strategic partnership with integration of payment transactions from 3,500 banks in 10 countries
Accounting Software: FreeAgent & E-conomic (partnership & integration)
Payroll Agencies: Acerta: biggest payroll provider for independents BE (white label, co-branded);
Attentia: biggest payroll provider for corporates in BE (integration with salary slips)","","Xpenditure is designed to serve the independent, SME and the corporate market. All three markets can enjoy a very easy and streamlined expense management flow. Some examples of corporate customers include G4S, SAS, BWise, ISKO and VMMA (biggest Belgian media holding).","<strong>Website: </strong><a target=""_blank"" href=""http://xpenditure.com"">xpenditure.com</a><br>
                  <strong>Blog:</strong> <a href=""http://news.xpenditure.com"" target=""_blank"">news.xpenditure.com</a><br>
                      <strong>Twitter:</strong> <a href=""http://twitter.com/xpenditure"" target=""_blank"">@xpenditure</a><br>
                      <br>
                               <strong> HQ: </strong>Mechelen, Belgium<br>
                               <strong>Founded: </strong>April 2011<br>
                               <strong>Product Demoed: </strong>Xpenditure<br>
                               <strong>Product Launch: </strong>February  2013<br>
                      <strong>Metrics: </strong>€1.8M in Funding (Angel), 15 Employees, €1.3M in  revenue for 2013<br>
                      <strong>Presenters: </strong>Wim Derkinderen (CCO &amp; Co-Founder), Koen Christiaens (Head of Product) ","                    <strong>How they describe themselves: </strong>Cardwise  helps companies make expenses visible and creates innovative tools to take  control, with Xpenditure as their flagship product. Xpenditure is a cutting  edge expense management tool making use of scanning &amp; smart reporting  flows, mainly marketed via integrated &amp; value added partnerships with  banks, accounting solutions and payroll companies.                    <p><strong>How they describe their product/innovation:</strong> Xpenditure  is a web based expense management solution that eliminates expense reports for  a company. By automating all steps of the expense management process and making  use of receipt scanning and integrated approval on the level of expense,  Xpenditure makes it possible to manage all daily costs without creating ordinary  expense notes – all without long and expensive implementation costs.</p>",http://www.finovate.com/europe14vid/xpenditure.html,http://www.finovate.com/europe14vid/logos/Cardwise.jpg,//fast.wistia.net/embed/iframe/nph8j9odr5
Innovation Agency,2014,Europe,"Rory Moore (CEO), Sean O’Reilly (CIO), Jay van Zyl (Chairman)","Rory Moore (CEO), Jay van Zyl (Chairman)",,Jay van Zyl (Chairman),,"FNB, MTN, IDC, Standard Bank, ABSA Capital","<strong>Website: </strong><a target=""_blank"" href=""http://innovationagency.com"">innovationagency.com</a> | <a href=""http://innovationcafe.com"" target=""_blank"">innovationcafe.com</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/InnovationInfo"" target=""_blank"">@InnovationInfo</a> | <a href=""http://twitter.com/cafe_innovation"" target=""_blank"">@cafe_innovation</a><br>
                      <br>
                               <strong> HQ: </strong>New York, NY, USA<br>
                               <strong>Founded: </strong>December 2008<br>
                               <strong>Product Demoed: </strong>Innovation Café<br>
                      <strong>Product Launch: </strong>February 2014 at  FinovateEurope<br>
                      <strong>Presenters: </strong>Sean O’Reilly (CTO), Rory Moore (CEO)","                    <strong>How they describe themselves: </strong>Innovation Agency is a leading consultancy firm  in the field of innovation with a presence in the United States of America,  Europe, Asia, Africa, and Australia. We pride ourselves on our ability to  access the untapped wealth of knowledge that resides within an organization’s  idea-sharing and problem-solving networks. In the field of organizational network  analysis our knowledge and experience are without equal. Using detailed informal  network assessments, we are able to accurately map social and organizational  networks. This is used to structure innovation initiatives in a way that  ensures the greatest possible benefit for our clients’ unique requirements.                    <p><strong>How they describe their product/innovation:</strong> Innovation Café is an advanced crowdsourcing innovation  platform for companies to engage their innovation communities. It is highly  configurable and is able to provide for both private and public ecologies as  well as emergent and structured innovation approaches. Innovation Café is a  lightweight platform with advanced white labeling and custom theme capabilities  and the ability to integrate with SharePoint, HR and other systems to provide  detailed reporting. It is able to deal with a high volume of users and ideas  and has a sophisticated social ranking and rating mechanism. Crowdsourcing and  community collaboration pay attention to business objectives that are focused  through idea challenges. Our judging, recognition/reward process, and digital  persona releases are our primary focuses at FinovateEurope.</p>",http://www.finovate.com/europe14vid/innovationagency.html,http://www.finovate.com/europe14vid/logos/InnovationAgency.jpg,//fast.wistia.net/embed/iframe/diex7pe4gw
YourWealth,2014,Europe,"Toby Hughes (CEO), Dave Tonge (CTO)",Toby Hughes (CEO),,Toby Hughes (CEO),,,"<strong>Website: </strong><a target=""_blank"" href=""http://yourwealth.co.uk"">yourwealth.co.uk</a><br>
                  <strong>Blog:</strong> <a href=""http://blog.yourwealth.co.uk"" target=""_blank"">blog.yourwealth.co.uk</a><br>
                      <strong>Twitter:</strong> <a href=""http://twitter.com/yourwealthuk"" target=""_blank"">@yourwealthuk</a><br>
                      <br>
                               <strong> HQ: </strong>Bristol, UK<br>
                               <strong>Founded: </strong>January 2011<br>
                               <strong>Product Demoed: </strong>YourWealth’s  Money Hub<br>
                               <strong>Product Launch: </strong>July 2013<br>
                      <strong>Metrics: </strong>Blue Speck Financial own and operate YourWealth.co.uk,  and currently employs 18 people. We completed a round of angel funding in  February 2013. YourWealth has serviced more than half a million users since  soft launch in 2013.<br>
                      <strong>Presenters: </strong>Toby Hughes (CEO), Dave Tonge (CTO)","              <strong>How they describe themselves: </strong> Blue Speck Financial owns and operates YourWealth, a financial services technology and marketing  firm which is directly authorised and regulated by the Financial Conduct  Authority.<br>                        <br>                      YourWealth is a free to access website that helps people make choices over  their financial future, whether they've got £5 or £50 million, by delivering  information, products, and access to advice relevant to their circumstances. YourWealth  uses accessible, innovative technology to put the consumer at the centre of  their financial world. YourWealth and its Money Hub technology are currently  only available for UK consumers.                      <p><strong>How they describe their product/innovation:</strong> YourWealth’s  Money Hub technology is one of the world’s most powerful personal finance tools  and is available via mobile, tablet and desktop devices. It brings together a  user’s entire financial world and incorporates the ability to aggregate  accounts, budget, track and plan scenarios for the future as well as access to  financial products and advice.<br>                        <br>                      Money Hub gives users total control, allowing them to connect directly with a  product provider or financial adviser and select which areas of their financial  universe they wish to share with them. We believe Money Hub will revolutionise  the world of personal finance.</p>",http://www.finovate.com/europe14vid/yourwealth.html,http://www.finovate.com/europe14vid/logos/YourWealth.jpg,//fast.wistia.net/embed/iframe/enlr56rjob
Kofax,2014,Europe,"Reynolds C. Bish (CEO), James Arnold, Jr. (CFO), Grant Johnson (CMO), Howard Dratler (EVP Field Operations), Jim Nicol (EVP Products)","Greg Lock, Bruce Powell, Chris Conway, Mark Wells, William T. Comfort III, Joe Rose, Wade W. Lew",,"Public tkr, KFX",Microsoft,"Barclays, Santander, Lloyds, HSBC, Wells Fargo, Bank of America","<strong>Website: </strong><a target=""_blank"" href=""http://kofax.com"">kofax.com</a><br>
                  <strong>Blog:</strong> <a href=""http://kofax.com/blog"" target=""_blank"">kofax.com/blog</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/Kofax"" target=""_blank"">@Kofax</a><br>
                      <br>
                               <strong> HQ: </strong>Irvine, CA, USA <br>
                               <strong>Founded: </strong>1985 <br>
                               <strong>Product Demoed: </strong>Kofax Mobile Capture <br>
                               <strong>Product Launch: </strong>February  2014<br>
                               <strong>Metrics: </strong>Subsidiaries in 30  countries, &gt;1,200 employees, 800+ channel partners, products available in  70+ countries, 20,000+ customers, London Stock Exchange &amp; NASDAQ: KFX,  $266.3M in revenue, $46.3M adjusted EBITA, $93.4M cash<br>
                               <strong>Presenters: </strong>Drew Hyatt (SVP Mobile Applications)","                    <strong>How they describe themselves: </strong>Kofax® is a  leading provider of smart capture and process automation software and solutions  for the business critical First Mile of customer interactions. These begin with  an organization’s systems of engagement, which generate real time, information  intensive communications from customers, and provide an essential connection to  systems of record (large, enterprise applications and repositories not easily  adapted to contemporary technology). Kofax® improves the customer experience  and reduces operating costs for increased competitiveness, growth, and  profitability.                    <p><strong>How they describe their product/innovation:</strong> Kofax® demonstrated  how banks can enable customers’ mobile phones to capture documents in support  of the onboarding and check deposit process. Customers are prompted to take a  picture of a document and submit information, which is automatically extracted,  validated for accuracy, and then utilized in the decision process. Kofax® demonstrated how to engage the customer via the mobile device and allow the  customer the ability to interact to open a new account, apply for loans, and  deposit cheques with the snap of a photo.</p>",http://www.finovate.com/europe14vid/kofax.html,http://www.finovate.com/europe14vid/logos/Kofax.jpg,//fast.wistia.net/embed/iframe/tft75j6baw
Yseop,2014,Europe,"John Rauscher (CEO), Elizabeth Farabee (VP Marketing)","John Rauscher (CEO, Yseop), Alain Kaeser (President & CSO, Yseop), Olivier Bonnet (CFO, Yseop) & Jacques Habib (Former EVP, Accenture)","John Rauscher (CEO, Yseop), Alain Kaeser (President & CSO, Yseop), Olivier Bonnet (CFO, Yseop), Jacques Habib (Former EVP, Accenture)","John Rauscher (CEO, Yseop & business angel)",Accenture & Kurt Salmon,"20 large customers with 20,000 users in production daily in the banking & insurance industries. Recently signed a deal to deploy Yseop’s technology for over 25,000 users at another large financial institution. Currently in production with over 30,000 users.","<strong>Website: </strong><a target=""_blank"" href=""http://yseop.com"">yseop.com</a><br>
                  <strong>Blog:</strong> <a href=""http://yseop.com/blog"" target=""_blank"">yseop.com/blog</a><br>
                      <strong>Twitter:</strong> <a href=""http://twitter.com/YseopAI"" target=""_blank"">@YseopAI</a><br>
                      <br>
                               <strong> HQ: </strong>Lyon, France (European  Headquarters) &amp; Dallas, Texas (U.S. Headquarters)<br>
                               <strong>Founded: </strong>First commercialized as a stand-alone product in Europe at  the end of 2008.<br>
                               <strong>Product  Demoed:</strong> YseMail  (“Easy-Mail”) &amp; Yseop Sales Force Productivity (YSF) Suite<br>
                               <strong>Product  Launch:</strong> February 2014<br>
                               <strong>Metrics: </strong>Privately self-funded.  Over 20 years of research. Commercialized as a stand-alone product in Europe at  end of 2008. 30 employees. Winner of 2013 Google-sponsored DMA Innovation Award  for its CRM integrated cross-selling solution. Selected as French National  Champion for the 2013-14 European Business Awards. Largest customer in  production is a retail bank with 12,500 daily users.<br>
                               <strong>Presenters: </strong>Elizabeth Farabee (VP Marketing), Arden Manning (Communications &amp; Bus. Dev.)","                    <strong>How they describe themselves: </strong>Yseop is artificial  intelligence software, which writes (and speaks) intelligent text, just like a  human being, but at a speed of thousands of pages per second. Yseop  revolutionizes the financial industry by boosting productivity, driving sales  and turning each financial advisor into an expert without additional training.                    <p><strong>How they describe their product/innovation:</strong> Yseop Sales Force Productivity Suite  (YSF) and its email writing application, called “YseMail” (pronounced  “Easy-Mail”), is an integrated sales performance boosting solution to be  plugged into a CRM, which supports the financial advisor throughout the sales  cycle. YSF analyzes customer data, dialogs intelligently with the financial  advisor or customer to gather contextual data and produces written conclusions  in seconds, including pre- and post-meeting summaries, personalized marketing  communications and prep-to-meeting documents. YSF has demonstrated an  improvement in sales productivity of 20% overnight.</p>",http://www.finovate.com/europe14vid/yseop.html,http://www.finovate.com/europe14vid/logos/yseop.jpg,//fast.wistia.net/embed/iframe/s7oxxl5cyt
MyOrder,2014,Europe,"Michael Dooijes (CEO), Gertjan Rösken (CTO), Thomas Brinkman (CSO)","Marco Bosma (EVP, Rabobank), Thomas Brinkman (Founder, MyOrder), Ferenc Birkenhäger (Eijsink POS Systems)","Roy Vella (Vella Ventures), Alex Nigg (Siderian Ventures Advisory)",Rabobank,"Rabobank, Eijsink POS Systems, MultiCard, Mobiquity","Shell, Superdirect.com, Wolff Cinemas, KFC, Bakery Bart, Takeaway.com, The Three Sisters Groningen","<strong>Website: </strong><a target=""_blank"" href=""http://myorder.nl"">myorder.nl</a><br>
                      <br>
                               <strong> HQ: </strong>Groningen, Netherlands <br>
                               <strong>Founded: </strong>2008 <br>
                               <strong>Product Demoed: </strong>MyOrder &amp; MyOrder  Sidekick<br>
                               <strong>Product Launch: </strong>September  2013<br>
                               <strong>Metrics: </strong>&gt;200,000  downloads in the Netherlands, 11,000 merchant locations in the App<br>
                               <strong>Presenters: </strong>Gertjan Rösken (CTO), Tamar Klein (Sales Manager)","                      <strong>How they describe themselves: </strong>We are MyOrder. We  empower and delight our customers by delivering confidence and convenience to  their shopping experience.</p>                    <p><strong>How they describe their product/innovation:</strong> The smartest way to spend,  connect, shop, browse and have fun.</p>",http://www.finovate.com/europe14vid/myorder.html,http://www.finovate.com/europe14vid/logos/myorder.png,//fast.wistia.net/embed/iframe/0zfjp1hte7
Backbase,2014,Europe,"Jouk Pleiter (CEO & Co-Founder), Herber de Ruijter (General Manager, North America)",,"Brett King (Founder, Movenbank), Roger Peverelli (Founder, VODW)",,,"Backbase software is used by global financials including ABN AMRO, AIG, Al Rajhi Bank, Bank of America, Barclays, CertusBank, Deutsche Bank, ING, UBS, and Visa.","<strong>Website: </strong><a target=""_blank"" href=""http://backbase.com"">backbase.com</a><br>
                  <strong>Blog:</strong> <a href=""http://blog.backbase.com"" target=""_blank"">blog.backbase.com</a><br>
                      <strong>Twitter:</strong> <a href=""http://twitter.com/backbase"" target=""_blank"">@backbase</a><br>
                      <br>
                               <strong> HQ: </strong>Amsterdam,  Netherlands<br>
                               <strong>Founded: </strong>April 2003<br>
                               <strong>Product Demoed: </strong>Backbase Bank 2.0 Portal<br>
                               <strong>Product Launch: </strong>February 2014<br>
                      <strong>Metrics: </strong>Privately funded, 150+  employees, offices in New York, Amsterdam, London, Singapore, and Moscow<br>
                      <strong>Presenters: </strong>Jouk Pleiter (CEO &amp; Co-Founder), Jelmer de Jong (Global Head of Marketing)","                    <strong>How they describe themselves: </strong>Backbase is a  software company specializing in Bank 2.0 Portal Software. The Backbase Bank  2.0 Portal empowers financials to create a new customer experience layer that  streamlines their online customer interactions across multiple devices  including desktops, tablets, and smartphones. Within the Backbase Bank 2.0  Portal, content, data, and functionality from underlying back-end systems are   unified into a seamless customer journey, and highly relevant information  messages can be targeted to customers based on their preferences and behavior.  Unlike traditional IT vendors, Backbase has created a business driven portal  solution that makes portal management easy for e-business professionals. This  delivers total control and powerful digital marketing capabilities.                    <p><strong>How they describe their product/innovation:</strong> We launched our new  mobile origination and enrollment module at FinovateEurope 2014. With the  strong mobile capabilities of the Backbase Platform and the growing digital  marketing capabilities, we are now including an out-of-the-box tool for  seamless mobile enrollment experiences.</p>                    <p>The new key features are: </p>                    <ul type=""disc"">                      <li>Complete       mobile application development capabilities within Backbase </li>                      <li>Out-of-the-box       enrollment and origination capabilities to support the online       application process including camera facilitated image matching for       insurance claims and digital image ID authentication using driving       licenses for example - all linked with the FI’s back-end system (STP), with campaign analytics to track and       monitor the campaign’s results</li>                    </ul>",http://www.finovate.com/europe14vid/backbase.html,http://www.finovate.com/europe14vid/logos/Backbase.jpg,//fast.wistia.net/embed/iframe/xruv3240il
ITSector,2014,Europe,"Renato Oliveira (CEO), José Ferreira (Director), Pedro Campos (Director), Alexandre Viana (Director), João Lima Pinto (Director)",,,,"Microsoft, IBM, Red Hat, Oracle, Deloitte","Standard Bank: major financial institution in Africa, projects in Angola and Mozambique, Bank Millennium Poland: major private financial institution in Poland with several international awards, Millennium Group: major private financial institution in Portugal, Poland, Angola, Mozambique, and Romania, CGD (Caixa Geral de Depósitos): major financial institution in Portugal with presence in Spain, France, Luxemburg, and East Timor among others, Montepio Geral: financial institution in Portugal and Angola","<strong>Website: </strong><a target=""_blank"" href=""http://itsector.pt"">itsector.pt</a><br>
                      <br>
                               <strong> HQ: </strong>Porto, Portugal<br>
                               <strong>Founded: </strong>April 2005 <br>
                               <strong>Product Demoed: </strong>Commercial Sales GPS <br>
                               <strong>Product Launch: </strong>February 2014<br>
                      <strong>Metrics: </strong>€9M in 2013 revenues, 200  employees in 2013<br>
                      <strong>Presenters: </strong>João Pinto (Director), Vitor Barros (IT Architect)","                    <strong>How they describe themselves: </strong>A dynamic company  led by strong experience in the IT area, ITSector has over 200 highly qualified  professionals. We invest in innovation and development of efficient solutions  for our clients. We implement integrated multi-channel solutions for financial  institutions, comprising web banking, contact center, IVR, SMS, mobile (HTTP  and APPs), and Smart TV channels, with several solutions being recognized with  international awards. Other products developed are Fast Account Creation (open  a bank account in a simple way) integrated with FlowCredit (credit solution  from simulation to loan). ITSector has a software factory located in Portugal,  and provides near shore services within Europe.                    <p><strong>How they describe their product/innovation:</strong> Commercial Sales GPS  offers financial institutions’ sales teams a solution to guide all commercial  effort, including mobile access from everywhere.<br>                      </p>                    <p>The main aim of the  solution is to provide global information for commercial activity, including  (1) Windows 8 Mobile Tablet - front end for accessing maps and detailed  management information and Proactivity map, (2) Action Tool for Commercial  Managers - guidance for commercial effort, and (3) Tool for achieving Cycle  Proactivity - planning, scheduling, preparation, and report overview.</p>                    <p>The software,  based on Microsoft Dynamics CRM, will cover the main activities of the sales  process, from account planning, all the way through visit scheduling, preparation,  and execution up to monitoring.</p>",http://www.finovate.com/europe14vid/itsector.html,http://www.finovate.com/europe14vid/logos/ITSector.jpg,//fast.wistia.net/embed/iframe/5i9e488u9p
Luxoft,2014,Europe,"Dmitry Loshchinin (President & CEO), Mikhail Friedland (EVP), Roman Yakushkin, (CFO), Przemyslaw Berendt (VP Global Marketing), Roman Trachtenberg (Managing Director, North America), Vadim Iasenik (Managing Director, Western Europe)","Anatoly Karachinskiy (Chairman of the Advisory Board, IBS Group & Chairman of the Board, Luxoft)",,"Fidelity Management & Research Company, Deutsche Asset & Wealth Management Investment, Morgan Stanley Investment Management, Lord Abbett & Company, Waddell & Reed Investment Management Company, Schroder Investment Management, BlackRock Investment Management (U.K.), Genesis Investment Management, Columbia Management Investment Advisers, Royce & Associates",,"Deutsche Bank, UBS, Credit Suisse, Citi, Intel, Boeing, Avaya, Ford, Harman","<strong>Website: </strong><a target=""_blank"" href=""http://luxoft.com"">luxoft.com</a><br>
                  <strong>Blog:</strong> <a href=""http://luxoft.com/blog"" target=""_blank"">luxoft.com/blog</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/Luxoft_tweets"" target=""_blank"">@Luxoft_tweets</a><br>
                      <br>
                               <strong> HQ: </strong>Zug, Switzerland<br>
                               <strong>Founded: </strong>2000<br>
                               <strong>Product Demoed: </strong>iStockTrack<br>
                               <strong>Product Launch: </strong>May 2013<br>
                      <strong>Metrics: </strong>7,000+ employees, 19 offices worldwide, 130+ clients, 300+  successful projects, revenue CAGR 26% FY 2011 to FY 2013<br>
                      <strong>Presenters: </strong>Przemyslaw Berendt (VP Global Marketing)","                    <strong>How they describe themselves: </strong>Luxoft  is a leading provider of software development services and innovative IT  solutions to a global client base consisting primarily of large multinational  corporations. We focus on six industry verticals: financial services, travel  and aviation, technology, telecom, automotive and transport, and energy. The company  has been traded on New York Stock Exchange (LXFT) since it’s IPO in June 2013.                    <p><strong>How they describe their product/innovation:</strong> iStockTrack  is an innovative iPad solution providing mobile banking services for private  and premium banking clients. iStockTrack features include client consolidated  wealth view, investment portfolio monitoring, personal adviser video call and  chat, 24/7 individual banking services, instant market data and news, and  macroeconomics dashboard – all in one app!</p>",http://www.finovate.com/europe14vid/luxoft.html,http://www.finovate.com/europe14vid/logos/Luxoft.jpg,//fast.wistia.net/embed/iframe/0sdohskteg
AnalytixInsight,2014,Europe,"Chaith Kondragunta (CEO), Gautam Pasupuleti (COO)",Prakash Hariharan (Chairman),,,,,"<strong>Website: </strong><a target=""_blank"" href=""http://capitalcube.com"">capitalcube.com</a><br>
                    <strong>Blog:</strong> <a href=""http://capitalcube.com/blog"" target=""_blank"">capitalcube.com/blog</a><br>
                      <strong>Twitter:</strong> <a href=""http://twitter.com/capitalcube"" target=""_blank"">@capitalcube</a><br>
                      <br>
                               <strong> HQ:</strong> New York, NY, USA<br>
                               <strong>Founded: </strong>June 2010<br>
                               <strong>Product Demoed: </strong>CapitalCube<br>
                               <strong>Product Launch: </strong>February  2014<br>
                               <strong>Presenters: </strong>Chaith Kondragunta (CEO)<br>
              ","                    <strong>How they describe themselves: </strong>AnalytixInsight, through its online portal  capitalcube.com, provides high-quality financial research and content for  investors, information providers, finance portals and media. The Company’s  disruptive technology algorithmically analyzes market price data and regulatory  filings to create insightful, actionable narratives and research on  approximately 45,000 global companies – all available as a cloud-based, SAAS  offering. This platform capability is extensible to other asset classes and  sectors to generate insightful research reports. The Company currently has existing  business relationships with leading global financial and media institutions.                    <p><strong>How they describe their product/innovation:</strong> AnalytixInsight and CapitalCube launched their newest product -  Fundamental ETF analysis. The ETF analysis provides unique fundamental research  of an ETF based on the analysis and risk assessment of the daily changing  underlying compositions. This enables investors to easily discern the  fundamental risk and characteristics of each ETF, especially with respect to  other ETF alternatives available to them. The service is intended to address  the till now unmet need of fundamental analysis of each ETF globally.</p>",http://www.finovate.com/europe14vid/capitalcube.html,http://www.finovate.com/europe14vid/logos/AnalytixInsight.jpg,//fast.wistia.net/embed/iframe/k0bv58au9n
LifePay,2014,Europe,"Vyacheslav Semenchuk, Vladimir Akimov, Petr Prokop, Andrew Pavlenko, Alexandr Martinov, Ivan Symircev",,,Life.SREDA,"Financial Group Life, Fidor Bank, all-Russian public organization of small and medium enterprises ""Support of Russia""",,"<strong>Website: </strong><a target=""_blank"" href=""http://life-pay.ru"">life-pay.ru</a><br>
                  <strong>Facebook:</strong> <a href=""http://facebook.com/LifePay"" target=""_blank"">facebook.com/LifePay</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/LifePay"" target=""_blank"">@LifePay</a><br>
                      <br>
                               <strong> HQ: </strong>Moscow, Russia<br>
                               <strong>Founded: </strong>September 2012<br>
                               <strong>Product Demoed: </strong>LifePay<br>
                               <strong>Product Launch: </strong>January 2014<br>
                      <strong>Metrics: </strong>money raised: $2.6M, number of employees: ~30, revenues:  ~ 200,000 RUR, registered users: over 5,500, readers realized: over 15,000,  website traffic: 100,000 DAU<br>
                      <strong>Presenters: </strong>Viacheslav   Semenchuk (CEO), Elena Spirina (Client)","                    <strong>How they describe themselves: </strong>LifePay  is a young company in the fast-growing Russian mPOS market. We develop,  integrate, customize and improve bank card receiving systems on smartphones.  Our target is small and medium business in Russia: stores ""near home""  format, taxi companies, courier services, freelance, insurance, travel agents,  etc. We popularize cashless to ensure the purity of doing business based on  Russian legislation.                    <p><strong>How they describe their product/innovation: </strong>At   Finovate Europe 2014 we   talked about our evolution from ordinary mobile card reader solution to   the <em>LifePay   Ecosystem</em>. Over   1.5 years of existence, we have connected more than 8,000 companies to LifePay,   and also created a complete closed system of inside interaction. The components   of <em>LifePay   Ecosystem</em> include:<br>                    </p>                    <ul>                      <li>Mobile app builder for business apps (iOS, Android, WinMobile)</li>                      <li>Consumer downloads building app with order delivery via LifePay mPOS (accepts card payment; SMS receipt with LifePay Wallet offer)</li>                    </ul>                    The   app tracks all transactions and gives the opportunity to pay for further   bargains without taking your card out of your pocket. <em>LifePay   Stand</em>, a   free tablet for business with preinstalled ecosystem software.",http://www.finovate.com/europe14vid/lifepay.html,http://www.finovate.com/europe14vid/logos/LifePay.jpg,//fast.wistia.net/embed/iframe/al2pvist8e
