Video Show,Show year,Location,Company Details,Key Stats,Url
Cardwise,2014,Europe,"How they describe their product/innovation: Xpenditure is a web based expense management solution that eliminates expense reports for a company. By automating all steps of the expense management process and making use of receipt scanning and integrated approval on the level of expense, Xpenditure makes it possible to manage all daily costs without creating ordinary expense notes – all without long and expensive implementation costs.","Key Executives: Boris Bogaert (CEO & Co-Founder), Wim Derkinderen (CCO & Co-Founder)Key Board Members & Investors: Toon Coppens (CTO & Co-Founder, Massive Media – Twoo.com), Lorenz Bogaert (CEO & Co-Founder, Massive Media – Twoo.com), Jonas Dhaenens (CEO & Founder, Combell & Unitt)Key Partnerships:Key Customers: Xpenditure is designed to serve the independent, SME and the corporate market. All three markets can enjoy a very easy and streamlined expense management flow. Some examples of corporate customers include G4S, SAS, BWise, ISKO and VMMA (biggest Belgian media holding).Contacts: Bus. Dev.: Wim Derkinderen, CCO & Co-Founder, wim@xpenditure.com Press: Boris Bogaert, CEO & Co-Founder, boris@cardwise.com Sales: Vicky Boeckx, Sales Representative, vicky@xpenditure.com",http://www.finovate.com/europe14vid/xpenditure.html
CurrencyTransfer.com,2014,Europe,"How they describe their product/innovation: FX price feed aggregator and execution platform that takes the technology blue chip treasurers take for granted, and makes it accessible to the masses. We offer a price feed aggregation solution to problems SME's trading internationally face, including: outdated phone based comparison, experiencing “honeymoon rates” & dreadfully expensive bank foreign exchange rates. Our goal is to create efficiency & total price transparency in an expensive, and opaque international money transfer industry. Version 1 features include: bidding platform, trade execution, multi broker registration & post trade history.","Key Executives: Daniel Abrahams (Co-Founder & Head of Partnerships), Stevan Litobac (Co-Founder & Head of Product)Key Board Members: Lee Cory (Jago Capital)Key Partnerships: Partnerships across the group include: The Currency Cloud, Sable Group, The FX Firm, Infinity International, Moneycorp, World First, International Foreign Exchange, Western Union Business Solutions, Smart Currency Exchange, OzForex Group, Transferwise, CurrencyFair.Key Customers: SME's, large corporates, startups, any business making up to £200 million per annum worth of international payments.Contacts: Press: press@currencytransfer.com Sales: Aviva Tabachnik, Partnerships, aviva@currencytransfer.com & Daniel Abrahams, Co-Founder & Head of Partnerships, daniel@currencytransfer.com",http://www.finovate.com/europe14vid/currencytransfer.html
Device Ident,2014,Europe,"Presenter Profile How they describe themselves: Device Ident offers self-developed anti-fraud software solutions for companies within the retail, digital goods, payment, and financial services sector. The company’s product portfolio includes device-fingerprinting and behavioral-analytics services. The new key product is Fraud Manager, a locally installed fraud analytics software that supports automatic fraud identification based on machine learning and graph data structures.How they describe their product/innovation: Fraud Manager is a sophisticated software solution to identify and analyze fraud within online transactions. The software can be used to recognize and find new fraud patterns within your e-commerce and financial services business. It uses fuzzy matching algorithms and graph database technology to identify fraudulent transactions in real time. Additionally it combines geolocation and map services from different vendors to visualize and compare locations of orders, customers, and shipping addresses. February 2014 marks the first use by pilot customers from e-commerce and financial services.","Key Executives: Roberto Valerio (CEO), Felix Eckhardt (CTO)Key Board Members: Marc Berg (CEO, Finnovato)Key Investors: Otto Group (Hamburg, Germany)Key Advisory Board Members: Paul Jozefak (CEO, Liquid Labs), Michael Backes (CTO, Liquid Labs)Contacts: Bus. Dev.: Roberto Valerio, roberto@deviceident.com & Jürgen Brandt, juergen@deviceident.com Press: Fabian Besch, fabian@deviceident.com Sales: David Niemann, david@deviceident.com",http://www.finovate.com/europe14vid/deviceident.html
Dynamics,2014,Europe,"Presenter Profile How they describe themselves: Dynamics was founded and seeded by Jeff Mullen, its President and CEO. Dynamics produces and manufactures intelligent powered cards such as advanced payment cards. Focused on introducing fast-cycle innovation to top card issuers, the company's first commercial application is the world's first fully card-programmable magnetic stripe for use in next-generation payment cards.","Key Executives: Jeff Mullen (CEO)Key Investors: Adams Capital Management (Series A), Bain Capital Ventures (Series B)Contacts: Bus. Dev.: inquiries@dynamicsinc.com Press: press@dynamicsinc.com",http://www.finovate.com/europe14vid/dynamics.html
ETRONIKA,2014,Europe,"How they describe their product/innovation: BANKTRON introduces a brand new approach to the customer. By combining banking and partners, data analysis, personalization, loyalty, and even fraud prevention, we have laid a whole new ground for better customer interaction and value added product offering. BANKTRON enables the bank to provide personalized, tailored services to the customer via multiple channels, much attention drawn to the mobile. Our flagship product BANKTRON is enriched with data analysis, fraud prevention engines, and a customer loyalty platform, which increases customer engagement and eases the determination of a full customer’s profile based on behavioral patterns. Providing tailored marketing campaigns and enhancing fraud prevention – a way to retain a satisfied customer.","Key Executives: Kęstutis Gardžiulis (CEO & Co-Founder), Jonas Šulcas (CTO & Co-Founder)Key Customers: DNB Bank Lithuania, DNB Bank Estonia, Medicinos Bank Lithuania, Reitan Convenience Lithuania, Reitan Convenience Estonia, Reitan Convenience FinlandContacts: Bus. Dev. & Sales: Kęstutis Gardžiulis, CEO & Co-Founder, k.gardziulis@etronika.com Press: Kęstutis Gardžiulis, CEO & Co-Founder, k.gardziulis@etronika.com & Asta Sabaitė, Head of Marketing, a.sabaite@etronika.com",http://www.finovate.com/europe14vid/etronika.html
EXCESS RETURN,2014,Europe,How they describe their product/innovation:,"",http://www.finovate.com/europe14vid/excessreturn.html
EZBOB,2014,Europe,"How they describe their product/innovation: EZBOB's lending platform was initially designed to provide an automated funding solution for online retailers, such a people operating online shops on eBay, Amazon, or those using PayPal. At Finovate EZBOB launched their new proprietary platform (EZ10.1), which allows for any of the 5 million SMEs in the UK to apply online in minutes and find out how much funding is available to them. Now, all business applicants will enjoy EZBOB's USP, which is a short online application with an automated lending decision and instant funding of up to £50,000.","Key Executives: Tomer Guriel (CEO, Founder & Director), Sharone Perlstein (Bus. Dev., Founder & Director), Nimrod Kaplan (CTO & COO)Key Board Members: Kim Richardson (Director), Gitit Aharoni (Director)Key Investors: Hagshama Fund, UK Angel Co-Fund, Phenomen FundKey Partnerships: European Investment Bank (EIB), EU Project Microfinance, Royal Mail, Simple Ways To Grow, EKM Powershop, Channel GrabberContacts: Bus. Dev.: Sharone Perlstein, sharonep@ezbob.com, +972546965599",http://www.finovate.com/europe14vid/ezbob.html
Encap Security,2014,Europe,"How they describe their product/innovation: Smarter Authentication is the world’s only software-based, banking-grade authentication technology that doesn’t compromise between security, user experience and utility.","Key Executives: Thomas Bostrøm Jørgensen (CEO), Adam Dolby (VP Bus. Dev.)Key Board Members: Dag Fjørtoft (Chairman, Encap), Arne Tonning (Board Member, Partner Alliance Venture), Herbjørn Skjervold (Managing Partner, ProVenture)Key Investors: ProVenture Seed, Alliance Venture Polaris, employees and other active key resources, founder and other former employeesKey Customers: Evry, Mtrust, EnterCard, Signicat, Sparebanken Vest, Santander NorwayContacts: Bus. Dev.: Adam Dolby, VP Biz. Dev, adam.dolby@encapsecurity.com, +1 413 358 3147 Press: Sarah Wilson, CCgroup PR, sarah.wilson@ccgrouppr.com, +44 207 535 7217 Sales: Thomas Bostrøm Jørgensen, CEO, thomas@encapsecurity.com, +47 92032078",http://www.finovate.com/europe14vid/encapsecurity.html
Feedzai,2014,Europe,"How they describe their product/innovation: Feedzai Fraud Prevention™ blocks payment fraud in real time – online, in store, mobile, and wherever customers shop. Built with the latest Big Data technology, Feedzai Fraud Prevention™ works transparently to risk score every single checkout transaction in under 25 milliseconds. Machine-learning models reduce the false alarms that overload order review staff. Individual 1-1 behavioral profiling detects more fraud than possible before. White-box scoring techniques provide clear, human readable explanations to enable a rich customer experience.","Key Executives: Nuno Sebastiao (CEO), Dr. Paulo Marques (CTO), Dr. Pedro Bizarro (CDS), Betty Kayton (CFO), Loc Nguyen (CMO)Key Investors: SAP Ventures, Data CollectiveKey Partnerships: Deloitte, SAP Ventures, Logica, EDP Ventures, Espirito Santo Ventures, Novabase VenturesKey Customers: Fraud monitoring for financial institutions covering 170M people, 20M accounts with total processed volume of $229B annually.Contacts: Bus. Dev., Press & Sales: Loc Nguyen, Marketing and Partnerships, loc.nguyen@feedzai.com, 415-535-7749",http://www.finovate.com/europe14vid/feedzai.html
Fiserv,2014,Europe,"How they describe their product/innovation: We demonstrated the next version of Mobiliti - our flagship mobile and tablet banking platform, with a focus on its completeness, intuitive design and disruptive capabilities.","Key Executives: Jeffery W. Yabuki (President & CEO), Shawn Donovan (EVP & Chief Sales Officer), Mark A. Ernst (EVP & COO), Michael P. Gianoni (EVP & Group President, Financial Institutions), Rahul Gupta (EVP & Group President, Digital Payments), Thomas J. Hirsch (EVP, CFO & Treasurer), Kevin Pennington (EVP, Human Resources), Clifford Skelton (EVP & CIO), Lynn S. McCreary (EVP & General Counsel), Charles W. Sprague (EVP & Chief Legal Officer), Steve Tait (EVP & Group President, International)Key Investors: Publicly listed on the NASDAQKey Customers: Many leading banks around the world use Fiserv's digital banking and payments products: Westpac Banking Corporation, Bank of Ireland, Tesco Bank, ANZ Banking Group, Bangkok Bank, US Bank, Capital One, Bank of the West, Bank of America, TD Bank, Panin Bank, Bank Leumi and many others.Contacts: Bus. Dev.: Serge van Dam, Segment Leader, Digital Channels, serge.vandam@fiserv.com, +44 208 133 1246 Press: Teana Baker, Marketing Manager, teana.baker-taylor@fiserv.com, +44 208 833 3152 Sales: Denis Zelenskiy, Sales Executive, Digital Channels, denis.zelenskiy@fiserv.com, +44 7741 706 814",http://www.finovate.com/europe14vid/fiserv.html
Five Degrees,2014,Europe,"How they describe their product/innovation: Matrix Accounts is a modern lean back office solution that manages product and admin specific data for the benefit of the mid and front office operations. Matrix Accounts is designed for existing banks, as well as banks of the next generation. With a focus on automation, flexibility, traceability and security, Matrix Accounts is the solution for lowering cost and enhancing agility in the banking environment. Matrix Accounts incorporates a highly flexible product builder to support the varying needs of different kinds of banks: retail, commercial and investment. Matrix Accounts comes with basic features, covering all standard needs of any bank.","Key Executives: Martijn Hohmann (CEO), Björn Holmthorsson (CTO), Marianne Tijssen (COO), Brian van Wachem (Chief Commercial Officer), Fridrik Reynisson (Director of Development Services), James Devine (Director of Product Services), Magnus Sigurdsson (Lead Architect), Peter-Jan van de Venn (Director of Business Services & Corporate Development)Key Board Members: Supervisory Board: Jan de Ruiter (Chairman, Supervisory Board & Chairman, RBS Netherlands), Loek van den Boog (Entrepreneur), Allard Luchsinger (Velocity Capital)Key Investors: Velocity Capital, 5Square SME FundKey Partnerships: Microsoft Silver PartnerKey Customers: KNAB (Aegon), Crédit Agricole Consumer Finance, NIBCContacts: Bus. Dev.: Peter-Jan van de Venn, peter-jan@fivedegrees.nl Press: Conny Dorrestijn, conny@fivedegrees.nl Sales: Brian van Wachem, brian@fivedegrees.nl",http://www.finovate.com/europe14vid/fivedegrees.html
GMC Software Technology,2014,Europe,"How they describe their product/innovation: GMC Inspire Mobile Onboarding is a game-changing innovation that allows banks to attract, retain, and grow customers through real-time, interactive communication.","Key Executives: Henri Dura (CEO), Bill Parker (CMO), Andreas Scherrer (CFO), Zbynek Hodic (CTO), Peter Mueller (President, EMEA)Contacts: Bus. Dev.: Didier Rouillard, VP Product Marketing, d.rouillard@gmc.net, +33 6 12 99 87 31 Press: Joanna Lane, Chameleon PR, GMC@chameleonpr.com",http://www.finovate.com/europe14vid/gmc.html
ITSector,2014,Europe,"How they describe their product/innovation: Commercial Sales GPS offers financial institutions’ sales teams a solution to guide all commercial effort, including mobile access from everywhere.","Key Executives: Renato Oliveira (CEO), José Ferreira (Director), Pedro Campos (Director), Alexandre Viana (Director), João Lima Pinto (Director)Key Partnerships: Microsoft, IBM, Red Hat, Oracle, DeloitteKey Customers: Standard Bank: major financial institution in Africa, projects in Angola and Mozambique, Bank Millennium Poland: major private financial institution in Poland with several international awards, Millennium Group: major private financial institution in Portugal, Poland, Angola, Mozambique, and Romania, CGD (Caixa Geral de Depósitos): major financial institution in Portugal with presence in Spain, France, Luxemburg, and East Timor among others, Montepio Geral: financial institution in Portugal and AngolaContacts: Bus. Dev.: João Lima Pinto, Director, joao.pinto@itsector.pt, +351 962 189 909 Press: Lis Ferreira, Marketing Manager, lis.ferreira@itsector.pt, + 351 964 972 813 Sales: Silvia Barbosa, Business Developer, silvia.barbosa@itsector.pt, +351 962 189 896",http://www.finovate.com/europe14vid/itsector.html
Innovation Agency,2014,Europe,"How they describe their product/innovation: Innovation Café is an advanced crowdsourcing innovation platform for companies to engage their innovation communities. It is highly configurable and is able to provide for both private and public ecologies as well as emergent and structured innovation approaches. Innovation Café is a lightweight platform with advanced white labeling and custom theme capabilities and the ability to integrate with SharePoint, HR and other systems to provide detailed reporting. It is able to deal with a high volume of users and ideas and has a sophisticated social ranking and rating mechanism. Crowdsourcing and community collaboration pay attention to business objectives that are focused through idea challenges. Our judging, recognition/reward process, and digital persona releases are our primary focuses at FinovateEurope.","Key Executives: Rory Moore (CEO), Sean O’Reilly (CIO), Jay van Zyl (Chairman)Key Board Members & Advisory Board Members: Rory Moore (CEO), Jay van Zyl (Chairman)Key Investors: Jay van Zyl (Chairman)Key Customers: FNB, MTN, IDC, Standard Bank, ABSA CapitalContacts: Bus. Dev., Press & Sales: Rory Moore, CEO",http://www.finovate.com/europe14vid/innovationagency.html
Jack Henry & Associates,2014,Europe,"How they describe their product/innovation: DataVault is a virtual safety deposit box that allows banking customers to upload, sort, and store personal and business documents in one secure place. Now customers can bank online with important documents just a click away.","Key Executives: Jack Henry & Associates Jack Prim (CEO), Kevin Williams (CFO), Steve Tomson (Sales Director, ProfitStars), Rick Cusimano (Managing Director, International), Stuart Allison (Managing Director, EMEA) Luminous Warren Bond (CEO), Arno van der Walt (CFO), Andrew Teversham (CTO), Andrew Buchanan (Global Head of Sales), Philippa Newnes (Head of Marketing), Liz Morris (Head of Talent)Key Investors: Hasso Plattner VenturesKey Partnerships: Jack Henry & Associates, First National Bank (FNB), NihilentContacts: Bus. Dev. & Sales: Phillip Wood, Sales EMEA, phwood@jackhenry.com, (m) 07899 028 409 Press: Philippa Newnes, Head of Marketing, Luminous, +61 401 915 153",http://www.finovate.com/europe14vid/jackhenry_luminous.html
Jumio,2014,Europe,"How they describe their product/innovation: Netverify offers real-time ID verification of passports, driver licenses, government issued ID cards, utility bills, insurance cards, and bank statements. This cutting edge technology is used by financial institutions, e-tailers, and consumer marketplaces to meet know-your-customer industry regulations, reduce fraud and chargeback costs in purchase transactions, and enhance trust and safety in online communities.","Key Executives: Daniel Mattes (CEO)Key Board Members: Eduardo Saverin (Board Member)Key Investors: Eduardo Saverin (Board Member), Andreessen Horowitz, Citi VenturesKey Customers: Entropay, Yobetit, Travelocity, Airbnb, Pokerstars, Mr GreenContacts: Bus. Dev.: Catherine Hickey, Sales Director, catherine.hickey@jumio.com Press: Angel Yore, PR, angela@skyparlour.com & Matthew Pears, PR, matthew@skyparlour.com Sales: Michael Kent, michael.kent@jumio.com",http://www.finovate.com/europe14vid/jumio.html
Kensho,2014,Europe,"How they describe their product/innovation: Warren is a user friendly, interactive research environment that enables portfolio managers and researchers to quickly and easily perform sophisticated quantitative analyses in a fraction of the time spent by institutional research teams today.","Key Executives: Daniel Nadler (CEO & Co-Founder), Peter Kruskall (CTO & Co-Founder), Ian Brady (CPO), Adam Broun (Head of Strategy)Key Investors: General Catalyst, NEA, Accel Partners, Google Ventures, Devonshire/Fidelity InvestmentsKey Partnerships: NasdaqContacts: Bus. Dev. & Press: Ian Brady, CPO, ian@kensho.com Sales: Adam Broun, Head of Strategy & Business Development, adam@kensho.com",http://www.finovate.com/europe14vid/kensho.html
Kofax,2014,Europe,"How they describe their product/innovation: Kofax® demonstrated how banks can enable customers’ mobile phones to capture documents in support of the onboarding and check deposit process. Customers are prompted to take a picture of a document and submit information, which is automatically extracted, validated for accuracy, and then utilized in the decision process. Kofax® demonstrated how to engage the customer via the mobile device and allow the customer the ability to interact to open a new account, apply for loans, and deposit cheques with the snap of a photo.","Key Executives: Reynolds C. Bish (CEO), James Arnold, Jr. (CFO), Grant Johnson (CMO), Howard Dratler (EVP Field Operations), Jim Nicol (EVP Products)Key Board Members: Greg Lock, Bruce Powell, Chris Conway, Mark Wells, William T. Comfort III, Joe Rose, Wade W. LewKey Investors: Public tkr, KFXKey Partnerships: MicrosoftKey Customers: Barclays, Santander, Lloyds, HSBC, Wells Fargo, Bank of AmericaContacts: Bus. Dev.: Diane Morgan, diane.morgan@kofax.com, +1 949 378 3158 Press: Ina Schmidt, ina.schmidt@eu-partner.com, +44 772 532 6146 Sales: Drew Hyatt, SVP Mobile, drew.hyatt@kofax.com, +1 415 999 8870",http://www.finovate.com/europe14vid/kofax.html
Kown,2014,Europe,"How they describe their product/innovation: Kown provides an alternative for the traditional savings account. We match people with investing opportunities based on their interests, risk-graph and investment focus.","Key Executives: Alexander Dresen (Founder & CEO), Ilia Rudometov (Head of Mobile), Alexey Krivonosov (Server & API), Sergey Kalachev (Lead Engineer)Key Investors: SeedcampKey Advisory Board Members: Robin Wauters (Tech.eu., ex Tech Crunch & ex The Next Web), Ben Mathes (Venture Hacker, AngelList), Sal Mateis (former VP, Yahoo)Contacts: Bus. Dev., Press & Sales: Alexander Dresen, Founder & CEO, alex@kown.co",http://www.finovate.com/europe14vid/kown.html
LifePay,2014,Europe,"How they describe their product/innovation: At Finovate Europe 2014 we talked about our evolution from ordinary mobile card reader solution to the LifePay Ecosystem. Over 1.5 years of existence, we have connected more than 8,000 companies to LifePay, and also created a complete closed system of inside interaction. The components of LifePay Ecosystem include:","Key Executives & Board Members: Vyacheslav Semenchuk, Vladimir Akimov, Petr Prokop, Andrew Pavlenko, Alexandr Martinov, Ivan SymircevKey Investors: Life.SREDAKey Partnerships: Financial Group Life, Fidor Bank, all-Russian public organization of small and medium enterprises ""Support of Russia""Contacts: Bus. Dev.: Vyacheslav Semenchuk, CEO, slava@life-pay.ru Press: Zinaida Bezzabotnova, PR Specialist, zinaida@life-pay.ru Sales: Alexander Ovcharenko, Director of Sales, aon194@life-pay.ru",http://www.finovate.com/europe14vid/lifepay.html
Luxoft,2014,Europe,"How they describe their product/innovation: iStockTrack is an innovative iPad solution providing mobile banking services for private and premium banking clients. iStockTrack features include client consolidated wealth view, investment portfolio monitoring, personal adviser video call and chat, 24/7 individual banking services, instant market data and news, and macroeconomics dashboard – all in one app!","Key Executives: Dmitry Loshchinin (President & CEO), Mikhail Friedland (EVP), Roman Yakushkin, (CFO), Przemyslaw Berendt (VP Global Marketing), Roman Trachtenberg (Managing Director, North America), Vadim Iasenik (Managing Director, Western Europe)Key Board Members: Anatoly Karachinskiy (Chairman of the Advisory Board, IBS Group & Chairman of the Board, Luxoft)Key Investors: Fidelity Management & Research Company, Deutsche Asset & Wealth Management Investment, Morgan Stanley Investment Management, Lord Abbett & Company, Waddell & Reed Investment Management Company, Schroder Investment Management, BlackRock Investment Management (U.K.), Genesis Investment Management, Columbia Management Investment Advisers, Royce & AssociatesKey Customers: Deutsche Bank, UBS, Credit Suisse, Citi, Intel, Boeing, Avaya, Ford, HarmanContacts: Bus. Dev. & Sales: Yuri Elkin, Managing Director, Luxoft Financial Services, yelkin@luxoft.com Press: Alina Plaia, VP Investor Relations, aplaia@luxoft.com",http://www.finovate.com/europe14vid/luxoft.html
